Response ID,Start Date,End Date,Status,Progress,Duration (in seconds),Finished,Recorded Date,Distribution Channel,User Language,Email,Business Name,Region,Business Size,Annual Revenue Band,Years in Business,Machine Count,Primary Business Model,Customer Mix,Current Pricing Method,Price Review Frequency,Q1: Calculate production/material cost before quoting,"Q2: Include thread, stabilizer, waste, and overhead in price",Q3: Track hands-on embroidery labor time,"Q4: Include admin, artwork, proofing, and customer time",Q5: Set intended profit target before pricing,Q6: Review margin after job completion,Q7: Adjust pricing for rush work or full schedule,Q8: Use capacity/backlog pressure in pricing decisions,"Q9: Consider customer value/use case, not only stitch count",Q10: Can explain price based on value delivered,Open Comment,_simulated_raw_issue
R_PD_000158,2026-03-13T11:15:40Z,2026-03-13 11:25:02,IP Address,100,562,True,2026-03-13T11:25:12Z,newsletter,en-US,owner@brightcustomscollectiv.example,Bright Customs Collective,Midwest,small team,Under 50k,9,two,Team/school spiritwear,Corporate/commercial,calculator,as needed,Rough estimate,Rough estimate,Not really,For larger jobs only,I have a basic spreadsheet,Built into our quote process,Depends on the job,Depends on the job,Partially,Rough estimate,Rush jobs are where we get into trouble.,clean
R_PD_000159,"Jun 06, 2026 07:41 PM",2026-06-06 19:51:09,IP Address,100,583,True,06/06/2026 19:52,social,EN,sales2@blueridgedecoratedgood.example,Blue Ridge Decorated Goods Collective,South,small team,n/a,about 15,8-head,Mixed services,Contract/B2B,$/hour,every few months,Always,Built into our quote process,We review and adjust,Built into our quote process,Always,Depends on the job,Depends on the job,Yes,"Yes, documented",Always,,clean
R_PD_000160,03/29/26 03:03 AM,2026-03-29 03:12:17,IP Address,100,533,Y,2026-03-29 03:13:10,email,EN,sales@luckyprintstitchshop.example,Lucky Print & Stitch Shop,Midwest,owner only,under $50k,about 11,four,Custom embroidery,Mostly consumers,what competitors charge,,I don't track this,Not really,Not yet,Not yet,Not really,I usually guess,I usually guess,No consistent process,I don't track this,I don't track this,,clean
R_PD_000161,"Apr 15, 2026 06:01 PM",04/15/2026 18:12,IP Address,100,638,TRUE,2026-04-15 18:12:55,anonymous,en-US,OWNER@MAPLETHREADSSHOP.EXAMPLE,Maple Threads Shop,South,11 to 25 employees,,13,5 machines,Promotional products,Mixed,job costing,every year,Always,Built into our quote process,Yes,We use a calculator/spreadsheet,Always,I have a basic spreadsheet,Built into our quote process,Rough estimate,Yes,We review and adjust,,clean
R_PD_000162,02/12/2026 15:14,2026-02-12 15:26:53,IP Address,100,737,Complete,"Feb 12, 2026 03:27 PM",anonymous,EN,contact@crownstitchcocompany.example,CROWN STITCH CO. COMPANY,South,6-10,About $1M+,18,6-head,Promotional products,Small business/local orgs,hourly rate,quarterly,Partially,Yes,We use a calculator/spreadsheet,Built into our quote process,Rough estimate,I have a basic spreadsheet,For larger jobs only,I have a basic spreadsheet,Sometimes,For larger jobs only,Pricing is the hardest part of the business.,clean
R_PD_000163,"Feb 04, 2026 09:22 PM",2026-02-04T21:29:35Z,IP Address,100,422,Y,02/04/2026 21:30,web,English,office+survey@heritageneedleworkscom.example,Heritage Needleworks Company,Midwest,just me,About $500k-$1M,about 0,2 machines,Custom embroidery,Small business/local orgs,what competitors charge,,No,Rough estimate,No,Not yet,Rough estimate,I don't track this,No consistent process,Not really,I usually guess,I don't track this,I need a better way to account for setup time.,clean
R_PD_000164,03/21/26 12:31 PM,"Mar 21, 2026 12:37 PM",IP Address,100,403,TRUE,"Mar 21, 2026 12:39 PM",email,en-US,contact@sunriseprintstitchstud.example,Sunrise Print & Stitch Studio,Canada/Other,6 to 10,250k-500k,18 yrs,5,Mixed services,Mixed,calculator,before every quote,Yes,We review and adjust,We review and adjust,Always,Always,Always,We use a calculator/spreadsheet,I have a basic spreadsheet,Yes,Yes,,clean
R_PD_000165,03/02/26 10:07 PM,"Mar 02, 2026 10:12 PM",IP Address,100,308,Y,"Mar 02, 2026 10:13 PM",anonymous,EN,hello@lakesideapparelcollect.example,LAKESIDE APPAREL COLLECTIVE,Northeast,2 to 5 employees,$50k-$100k,20,2,Promotional products,Mixed,by stitch,once a year,We review and adjust,Yes,Sometimes,For larger jobs only,No,Depends on the job,I have a basic spreadsheet,I have a basic spreadsheet,Partially,Depends on the job,Most customers compare us by stitch count.,clean
R_PD_000166,2026-04-05T16:41:44Z,"Apr 05, 2026 04:46 PM",IP Address,100,314,Y,2026-04-05T16:47:40Z,anonymous,English,owner@lakesidecustomsgroup.example,Lakeside Customs Group,West,one-person shop,,about 0,1 machines,Mixed services,Corporate/commercial,I quote each job,only when vendors raise prices,Partially,I have a basic spreadsheet,For larger jobs only,For larger jobs only,I usually guess,For larger jobs only,I have a basic spreadsheet,Not yet,Partially,Sometimes,I need a better way to account for setup time.,clean
R_PD_000167,2026-03-02 07:13:49,2026-03-02 07:20:22,IP Address,100,393,Y,03/02/2026 07:21,newsletter,EN,contact3@blueridgebrandingcompa.example,Blue Ridge Branding Company,South,small team,$500k-$1M,2 years,three,Team/school spiritwear,Contract/B2B,market rate,once a year,Rough estimate,Rough estimate,I have a basic spreadsheet,Rough estimate,Depends on the job,Not really,I don't track this,I have a basic spreadsheet,For larger jobs only,Partially,Most customers compare us by stitch count.,clean
R_PD_000168,2026-04-05 10:44:42,04/05/26 10:56 AM,IP Address,100,710,Y,04/05/26 10:56 AM,newsletter,en-US,OFFICE@MAINSTREETAPPARELCOMPA.EXAMPLE,Main Street Apparel Company,South,small team,$50k-$100k,11 yrs,2 machines,Custom embroidery,Mostly consumers,what competitors charge,if supplies go up,,I have a basic spreadsheet,No,Not really,No,No,Not really,No consistent process,No consistent process,Not really,Most customers compare us by stitch count.,clean
R_PD_000169,03/08/2026 23:47,"Mar 08, 2026 11:52 PM",IP Address,100,306,TRUE,"Mar 08, 2026 11:53 PM",web,English, contact5@bobbinworks.example ,Bobbin Works,Canada/Other,me + 2,100k-250k,13 yrs,3 heads,Mixed services,Corporate/commercial,by stitch,once a year,For larger jobs only,Yes,Sometimes,Depends on the job,Depends on the job,Sometimes,I have a basic spreadsheet,Partially,I have a basic spreadsheet,Rough estimate,We are trying to stop undercharging.,clean
R_PD_000170,2026-03-02T00:26:47Z,2026-03-02T00:34:07Z,IP Address,100,440,Y,03/02/26 12:34 AM,social,EN,owner@threaddecoratedgoodsgr.example,Thread Decorated Goods Group,Northeast,Solo,Prefer not to say,17 yrs,2 heads,Custom embroidery,Mostly consumers,costing worksheet,when costs change,Built into our quote process,Yes,Always,We use a calculator/spreadsheet,I don't track this,Yes,Not yet,Partially,We review and adjust,Sometimes,I need a better way to account for setup time.,clean
R_PD_000171,02/06/2026 00:49,02/06/26 12:57 AM,IP Address,100,515,Y,"Feb 06, 2026 12:58 AM",social,English,office@sunriseembroiderystudi.example,Sunrise Embroidery Studio,West,2-5 employees,$250k-$500k,0,4 machines,Team/school spiritwear,Corporate/commercial,cost plus profit,constantly,We review and adjust,Sometimes,We use a calculator/spreadsheet,Rough estimate,Rough estimate,Partially,I have a basic spreadsheet,Rough estimate,Partially,For larger jobs only,I need a better way to account for setup time.,clean
R_PD_000172,2026-04-24T18:18:35Z,"Apr 24, 2026 06:30 PM",IP Address,100,716,Complete,04/24/26 06:30 PM,social,EN,,Willow Teamwear,West,small team,$100k-$250k,1 years,2 machines,Custom embroidery,,per 1000 stitches,as needed,Partially,Rough estimate,Sometimes,Sometimes,I have a basic spreadsheet,No,I have a basic spreadsheet,Depends on the job,Rough estimate,Rough estimate,,clean
R_PD_000173,04/16/2026 08:32,2026-04-16T08:38:37Z,IP Address,100,363,True,2026-04-16 08:39:29,social,English,quotes@threadwearablesshop.example,Thread Wearables Shop ,West,2-5,Under 50k,2 years,2 heads,Custom embroidery,Contract/B2B,stitch rate,if supplies go up,I don't track this,Sometimes,I have a basic spreadsheet,Not really,Not really,No consistent process,Not yet,No,Depends on the job,Rough estimate,Most customers compare us by stitch count.,clean
R_PD_000174,2026-04-27T16:41:32Z,"Apr 27, 2026 04:55 PM",IP Address,100,809,True,"Apr 27, 2026 04:55 PM",newsletter,en-US,quotes5@riverneedleworkscompan.example,River Needleworks Company,Northeast,small team,$250k-$500k,4 years,4 heads,Custom embroidery,Mixed,value based,when I remember,Sometimes,Sometimes,Rough estimate,I have a basic spreadsheet,No consistent process,I have a basic spreadsheet,I usually guess,Sometimes,For larger jobs only,I have a basic spreadsheet,,clean
R_PD_000175,05/16/2026 09:54,05/16/26 09:59 AM,IP Address,100,321,True,05/16/26 10:00 AM,anonymous,English,SALES@HERITAGEDECORATEDGOODS.EXAMPLE,Heritage Decorated Goods Studio,Midwest,Solo,$50k-$100k,about 10,1 machines,Promotional products,Corporate/commercial,hybrid,once a year,Built into our quote process,Sometimes,For larger jobs only,Rough estimate,Sometimes,For larger jobs only,Depends on the job,Rough estimate,Not yet,I have a basic spreadsheet,We are trying to stop undercharging.,clean
R_PD_000176,2026-04-11T21:12:54Z,"Apr 11, 2026 09:24 PM",IP Address,100,705,Complete,2026-04-11T21:25:34Z,anonymous,EN,quotes@northstarapparelgroup.example,North Star Apparel Group,Northeast,2 to 5 employees,250k-500k,about 24,five,Custom embroidery,Mostly consumers,per 1000 stitches,if supplies go up,I have a basic spreadsheet,For larger jobs only,No,No,Depends on the job,Sometimes,For larger jobs only,Partially,For larger jobs only,Partially,We are trying to stop undercharging.,clean
R_PD_000177,04/21/2026 19:03,"Apr 21, 2026 07:12 PM",IP Address,100,507,Y,"Apr 21, 2026 07:12 PM",anonymous,English,owner2@maplestudiocollective.example,Maple Studio Collective,West,2-5,About $1M+,10 years,three,Promotional products,Mostly consumers,manual estimate,every year,Not really,Sometimes,I have a basic spreadsheet,,Partially,I usually guess,Sometimes,Partially,Depends on the job,Partially,Pricing is the hardest part of the business.,clean
R_PD_000178,2026-02-08T08:10:41Z,"Feb 08, 2026 08:23 AM",IP Address,100,747,True,02/08/26 08:24 AM,email,English, hello@heritagestitchco.example ,Heritage Stitch Co.,South,me + 2,$50k-$100k,8,2-head,Decorated apparel,Mixed,costing worksheet,every year,"Yes, documented",We review and adjust,Always,Built into our quote process,Rough estimate,Built into our quote process,Rough estimate,Built into our quote process,Yes,"Yes, documented",Rush jobs are where we get into trouble.,clean
R_PD_000179,02/16/26 07:33 AM,02/16/2026 07:42,IP Address,100,568,True,"Feb 16, 2026 07:42 AM",newsletter,en-US,sales@blueridgethreadsshop.example,Blue Ridge Threads Shop,Northeast,larger shop,About $500k-$1M,about 18,10-head,Custom embroidery,Mixed,case by case,every year,"Yes, documented",We use a calculator/spreadsheet,Built into our quote process,Depends on the job,We use a calculator/spreadsheet,Depends on the job,Partially,Rough estimate,We use a calculator/spreadsheet,Rough estimate,,clean
R_PD_000180,"May 03, 2026 02:29 AM","May 03, 2026 02:43 AM",IP Address,100,826,Y,05/03/2026 02:44,email,English,contact@needlebrandingstudio.example,Needle Branding Studio,Midwest,2 to 5 employees,500k-1M,31 yrs,2 heads,Custom embroidery,Contract/B2B,by stitch,before every quote,We use a calculator/spreadsheet,We use a calculator/spreadsheet,We review and adjust,Rough estimate,For larger jobs only,"Yes, documented",For larger jobs only,I have a basic spreadsheet,Rough estimate,Partially,Rush jobs are where we get into trouble.,clean
R_PD_000181,2026-02-15 20:07:55,2026-02-15 20:17:22,IP Address,100,567,True,2026-02-15 20:18:27,anonymous,EN, owner@brightstitchco.example ,Bright Stitch Co.,South,small team,$100k-$250k,since 2010,4,Decorated apparel,Small business/local orgs,cost plus profit,,We review and adjust,Rough estimate,For larger jobs only,Sometimes,Partially,Sometimes,No consistent process,I have a basic spreadsheet,Rough estimate,Depends on the job,,clean
R_PD_000182,03/24/26 10:22 AM,2026-03-24 10:31:53,IP Address,100,574,Complete,03/24/2026 10:31,newsletter,EN,office@pineworksstudio.example,Pine Works Studio,Canada/Other,me + 2,About $250k-$500k,14 yrs,three,Custom embroidery,Corporate/commercial,cost+margin,quarterly,Built into our quote process,We use a calculator/spreadsheet,"Yes, documented",Built into our quote process,Yes,Built into our quote process,"Yes, documented","Yes, documented",I have a basic spreadsheet,Depends on the job,,clean
R_PD_000183,2026-02-28T11:32:44Z,2026-02-28T11:44:59Z,IP Address,100,735,Complete,"Feb 28, 2026 11:45 AM",social,en-US,info@summitlogoshopstudio.example,Summit Logo Shop Studio,Midwest,just me,Under 50k,3 yrs,1-head,Promotional products,Mixed,case by case,only when vendors raise prices,No consistent process,I have a basic spreadsheet,Not really,I don't track this,I don't track this,Not really,Not really,No consistent process,I usually guess,No consistent process,We are trying to stop undercharging.,clean
R_PD_000184,2026-03-16 10:11:52,2026-03-16T10:24:08Z,IP Address,100,736,Complete,"Mar 16, 2026 10:25 AM",newsletter,English,contact2@lakesideapparelllc.example,Lakeside Apparel LLC,West,11 to 25 employees,About $1M+,since 2015,six,Decorated apparel,Mixed,cost plus profit,as needed,Rough estimate,Sometimes,Rough estimate,Rough estimate,No consistent process,Rough estimate,Sometimes,Sometimes,Not really,Rough estimate,Most customers compare us by stitch count.,clean
R_PD_000185,03/25/2026 17:35,03/25/26 05:42 PM,IP Address,100,433,Y,03/25/26 05:43 PM,anonymous,English,hello@crownprintstitchstudio.example,Crown Print & Stitch Studio,Northeast,solo,Under $50k,about 6,1-head,Decorated apparel,Mostly consumers,by stitch,never,I don't track this,I usually guess,Not yet,No consistent process,Not yet,I usually guess,I don't track this,No,I usually guess,I don't track this,We are trying to stop undercharging.,clean
R_PD_000186,05/22/26 12:03 AM,05/22/26 12:07 AM,IP Address,100,233,Complete,2026-05-22 00:08:46,email,English,contact@heritageprintstitchllc.example,Heritage Print & Stitch LLC,Midwest,solo,Under $50k,about 0,2 machines,Team/school spiritwear,Corporate/commercial,case by case,before every quote,No consistent process,Rough estimate,For larger jobs only,For larger jobs only,I don't track this,Depends on the job,Not yet,I usually guess,No consistent process,Rough estimate,,clean
R_PD_000187,2026-05-26T00:28:03Z,05/26/26 12:35 AM,IP Address,100,446,Y,05/26/26 12:36 AM,email,EN,contact@cedarlogoshopstudio.example,Cedar Logo Shop Studio,West,2-5,,0 years,3-head,,Small business/local orgs,time based,when costs change,We review and adjust,We review and adjust,For larger jobs only,Sometimes,No consistent process,No,,Sometimes,Not yet,Depends on the job,I need a better way to account for setup time.,clean
R_PD_000188,2026-06-09 17:08:55,"Jun 09, 2026 05:13 PM",IP Address,100,254,Complete,"Jun 09, 2026 05:13 PM",anonymous,English,quotes@lakesideprintstitchstu.example,Lakeside Print & Stitch Studio,South,2-5 employees,Under $50k,new,3 heads,Contract embroidery,Mostly consumers,hourly,rarely,Partially,Not really,I have a basic spreadsheet,For larger jobs only,No,Not really,I usually guess,I don't track this,Rough estimate,Not yet,We are trying to stop undercharging.,clean
R_PD_000189,03/31/26 06:25 PM,"Mar 31, 2026 06:33 PM",IP Address,100,459,TRUE,03/31/2026 18:34,newsletter,en-US,owner@willowstudiollc.example,Willow Studio LLC,South,about 8,Under $50k,24 yrs,8 machines,,Mostly consumers,time based,as needed,Always,Built into our quote process,For larger jobs only,Yes,Sometimes,I have a basic spreadsheet,Built into our quote process,For larger jobs only,Partially,Built into our quote process,,clean
R_PD_000190,2026-04-12 21:44:03,04/12/2026 21:52,IP Address,100,498,Complete,2026-04-12 21:52:44,web,English,office@urbanneedleworksshop.example,Urban Needleworks Shop,,small team,Under 50k,12 years,1,Team/school spiritwear,Mostly consumers,costing worksheet,if supplies go up,Partially,Depends on the job,Yes,Rough estimate,Partially,I have a basic spreadsheet,I usually guess,I don't track this,Partially,Not really,Pricing is the hardest part of the business.,clean
R_PD_000191,2026-03-17T08:53:11Z,03/17/26 09:04 AM,IP Address,100,660,TRUE,03/17/2026 09:04,newsletter,EN,quotes@riverstudio.example,River Studio,South,2 to 5 employees,Prefer not to say,more than 20,3-head,Custom embroidery,Corporate/commercial,hybrid,yearly,Sometimes,"Yes, documented",For larger jobs only,Built into our quote process,We use a calculator/spreadsheet,Sometimes,Partially,I have a basic spreadsheet,Sometimes,Depends on the job,Most customers compare us by stitch count.,clean
R_PD_000192,03/12/2026 12:38,2026-03-12T12:47:30Z,IP Address,100,557,TRUE,"Mar 12, 2026 12:48 PM",newsletter,EN,owner@blueridgemonogramscomp.example,Blue Ridge Monograms Company,South,2-5 employees,under $50k,4,single head,Mixed services,Contract/B2B,stitch count,only when vendors raise prices,Depends on the job,For larger jobs only,Rough estimate,Partially,Depends on the job,Not really,I don't track this,No,I usually guess,No consistent process,Most customers compare us by stitch count.,clean
R_PD_000193,"Mar 28, 2026 07:21 AM","Mar 28, 2026 07:28 AM",IP Address,100,455,True,03/28/26 07:30 AM,web,EN,quotes+nnep@mainstreetlogoshopcoll.example,Main Street Logo Shop Collective,South,solo,100k-250k,1 years,2 heads,Custom embroidery,Mostly consumers,stitch rate,,Not really,I usually guess,Not yet,Not yet,Not yet,Not yet,No consistent process,No,Not yet,No,,clean
R_PD_000194,02/14/2026 13:31,2026-02-14T13:43:55Z,IP Address,100,761,Complete,2026-02-14T13:44:53Z,email,en-US,quotes@urbandecoratedgoodscom.example,Urban Decorated Goods Company,Midwest,2 to 5 employees,$500k-$1M,1 years,2-head,Mixed services,Mostly consumers,case by case,each estimate,Partially,Depends on the job,Rough estimate,I have a basic spreadsheet,Rough estimate,Sometimes,I don't track this,Rough estimate,Sometimes,No,I need a better way to account for setup time.,clean
R_PD_000195,2026-05-09T22:12:00Z,2026-05-09 22:19:14,IP Address,100,434,Complete,05/09/26 10:19 PM,newsletter,English,sales @ luckydecoratedgoodscol.example,Lucky Decorated Goods Collective,Canada/Other,solo,Under 50k,4 yrs,3-head,Custom embroidery,Mostly consumers,case by case,if supplies go up,I have a basic spreadsheet,Sometimes,I usually guess,Not really,No,No,I usually guess,Not yet,No consistent process,I usually guess,Rush jobs are where we get into trouble.,clean
R_PD_000196,"May 11, 2026 02:04 AM",2026-05-11T02:12:19Z,IP Address,100,488,Y,05/11/26 02:13 AM,social,English,quotes@ironcreativegroup.example,Iron Creative Group,West,solo,Prefer not to say,1 years,3 machines,Mixed services,Small business/local orgs,mostly stitch count,when I remember,Partially,Depends on the job,I usually guess,I don't track this,I usually guess,No consistent process,No consistent process,Not yet,For larger jobs only,No consistent process,,clean
R_PD_000197,2026-02-02T02:42:40Z,02/02/2026 02:50,IP Address,100,440,TRUE,02/02/2026 02:50,web,English,info1@oakstitchcocompany.example,Oak Stitch Co. Company,West,me + 2,,1 years,two,Custom embroidery,Mixed,labor hours,before every quote,Depends on the job,,Yes,I have a basic spreadsheet,Partially,Partially,I have a basic spreadsheet,Built into our quote process,"Yes, documented",Sometimes,I need a better way to account for setup time.,clean
R_PD_000198,05/25/2026 04:26,05/25/2026 04:34,IP Address,100,482,Y,05/25/26 04:35 AM,anonymous,en-US,owner2@hoopdesignscompany.example,Hoop Designs Company,Northeast,30 employees,$500k-$1M,2,15 heads,Mixed services,Corporate/commercial,job costing,every year,Built into our quote process,Yes,"Yes, documented",We review and adjust,We use a calculator/spreadsheet,We use a calculator/spreadsheet,Yes,Always,We use a calculator/spreadsheet,Always,I need a better way to account for setup time.,clean
R_PD_000199,2026-05-17T09:15:39Z,2026-05-17T09:20:34Z,IP Address,100,295,True,05/17/2026 09:21,email,EN,OWNER3@MAPLEWEARABLESCOLLECTI.EXAMPLE,Maple Wearables Collective,South,me + 2,$100k-$250k,about 0,6,Mixed services,Mixed,stitch count,4x a year,We use a calculator/spreadsheet,Built into our quote process,Built into our quote process,,Rough estimate,"Yes, documented",Depends on the job,Depends on the job,Partially,Depends on the job,Pricing is the hardest part of the business.,clean
R_PD_000200,2026-05-05 06:20:33,05/05/26 06:26 AM,IP Address,100,353,Complete,2026-05-05 06:27:48,newsletter,en-US, sales@cedarbranding.example ,CEDAR BRANDING,South,small team,,since 2024,4 heads,Custom embroidery,Mixed,by stitch,rarely,Always,Sometimes,No consistent process,No,No,Not yet,No,No consistent process,No,For larger jobs only,,clean
R_PD_000201,03/30/2026 09:16,03/30/2026 09:25,IP Address,100,555,Complete,2026-03-30T09:26:04Z,email,EN,sales@cedarthreadscompany.example,Cedar Threads Company,West,me + 2,About $1M+,14,3-head,Decorated apparel,Mixed,what competitors charge,quarterly,We review and adjust,"Yes, documented","Yes, documented",We use a calculator/spreadsheet,Partially,Partially,Depends on the job,Sometimes,Depends on the job,Partially,Most customers compare us by stitch count.,clean
R_PD_000202,"May 19, 2026 12:46 AM",2026-05-19T00:54:40Z,IP Address,100,468,Y,05/19/2026 00:55,web,EN,hello@sunrisecustomscompany.example,Sunrise Customs Company,Midwest,Solo,About $50k-$100k,about 33,3-head,Custom embroidery,Schools/teams,hourly,rarely,Sometimes,Sometimes,For larger jobs only,Partially,Partially,For larger jobs only,Rough estimate,No,No,Sometimes,Pricing is the hardest part of the business.,clean
R_PD_000203,"Feb 18, 2026 01:29 AM",2026-02-18T01:38:17Z,IP Address,100,547,Complete,02/18/2026 01:39,email,en-US,office@needlelogoshopcompany.example,Needle Logo Shop Company,Northeast,solo,50k-100k,3 yrs,1 heads,Contract embroidery,Mixed,depends,when I remember,Rough estimate,Rough estimate,For larger jobs only,I don't track this,I usually guess,I don't track this,No consistent process,Not yet,I have a basic spreadsheet,No,I need a better way to account for setup time.,clean
R_PD_000204,2026-03-24T11:04:32Z,"Mar 24, 2026 11:14 AM",IP Address,100,614,TRUE,2026-03-24T11:15:50Z,email,en-US, info@silverdecoratedgoodsco.example ,Silver Decorated Goods Collective,Northeast,Solo,Under $50k,5 yrs,one,Decorated apparel,Corporate/commercial,cost based,yearly,Yes,We use a calculator/spreadsheet,Sometimes,Built into our quote process,Depends on the job,Sometimes,Rough estimate,No,I have a basic spreadsheet,Yes,Most customers compare us by stitch count.,clean
R_PD_000205,2026-05-22 13:12:40,05/22/2026 13:24,IP Address,100,694,True,2026-05-22T13:24:23Z,email,English,owner+survey@crownbrandinggroup.example,Crown Branding Group,Northeast,26 or more,$500k-$1m,19 yrs,12 heads,Decorated apparel,Corporate/commercial,hybrid,once a year,Always,For larger jobs only,Partially,Built into our quote process,We use a calculator/spreadsheet,We review and adjust,Yes,We use a calculator/spreadsheet,We review and adjust,"Yes, documented",Pricing is the hardest part of the business.,clean
R_PD_000206,2026-02-06T10:26:38Z,02/06/26 10:34 AM,IP Address,100,443,True,2026-02-06 10:34:49,email,EN,office4@needleteamwearcollecti.example,Needle Teamwear Collective,South,small team,$50k-$100k,18 yrs,three,Decorated apparel,Mixed,custom quote,never,Not yet,Depends on the job,I don't track this,No consistent process,I don't track this,No consistent process,No consistent process,I usually guess,No consistent process,No consistent process,Pricing is the hardest part of the business.,clean
R_PD_000207,05/12/26 01:12 PM,2026-05-12T13:29:16Z,IP Address,100,986,Complete,2026-05-12 13:30:35,anonymous,en-US,contact@blueridgeapparelllc.example,Blue Ridge Apparel LLC,South,26 or more,1M+,15 yrs,10 heads,Team/school spiritwear,Small business/local orgs,depends,when costs change,Partially,Rough estimate,Sometimes,I have a basic spreadsheet,Sometimes,I have a basic spreadsheet,No consistent process,No consistent process,Rough estimate,Rough estimate,Most customers compare us by stitch count.,clean
R_PD_000208,2026-04-16 23:50:07,"Apr 16, 2026 11:58 PM",IP Address,100,503,TRUE,2026-04-16T23:59:02Z,email,en-US,,Cedar Monograms,South,owner only,Under 50k,11 years,1 heads,Contract embroidery,Small business/local orgs,market rate,rarely,Depends on the job,No,Not really,I usually guess,Not really,No,Not yet,No,Not yet,I don't track this,Rush jobs are where we get into trouble.,clean
R_PD_000209,05/26/2026 20:27,2026-05-26T20:37:26Z,IP Address,100,595,Y,2026-05-26T20:37:56Z,anonymous,English,sales@sunrisewearablesllc.example,Sunrise Wearables LLC,West,owner only,$100k-$250k,12 years,two,Promotional products,Small business/local orgs,materials + markup,not often,Depends on the job,Sometimes,I usually guess,Rough estimate,Not yet,For larger jobs only,Rough estimate,No consistent process,I usually guess,I don't track this,Most customers compare us by stitch count.,clean
R_PD_000210,06/09/26 01:10 PM,06/09/2026 13:17,IP Address,100,477,True,"Jun 09, 2026 01:19 PM",newsletter,en-US,quotes@silverdesigns.example,Silver Designs,Canada/Other,just me,Prefer not to say,14 yrs,single head,Decorated apparel,Schools/teams,stitch rate,each quarter,I have a basic spreadsheet,Always,I have a basic spreadsheet,Partially,Rough estimate,Partially,Depends on the job,Rough estimate,For larger jobs only,Sometimes,Rush jobs are where we get into trouble.,clean
R_PD_000211,04/01/2026 18:40,"Apr 01, 2026 06:45 PM",IP Address,100,323,Y,"Apr 01, 2026 06:46 PM",web,en-US,contact@riverprintstitchstudio.example,River Print & Stitch Studio,West,2-5,About $50k-$100k,1,5-head,Team/school spiritwear,Contract/B2B,custom quote,yearly,Partially,We use a calculator/spreadsheet,No,No consistent process,Partially,Not yet,No,No,No consistent process,I usually guess,Rush jobs are where we get into trouble.,clean
R_PD_000212,02/19/26 09:54 PM,"Feb 19, 2026 10:14 PM",IP Address,100,1153,Complete,02/19/2026 22:14,email,EN, info@prairiecustomsstudio.example ,Prairie Customs Studio,Midwest,Solo,About $100k-$250k,new,one,Mixed services,Mixed,competitive pricing,,Rough estimate,Partially,No,Not really,Not really,Not really,Not yet,No,No consistent process,Not yet,Most customers compare us by stitch count.,clean
R_PD_000213,03/20/26 09:46 PM,"Mar 20, 2026 09:50 PM",IP Address,100,267,True,2026-03-20T21:52:20Z,email,English,owner@riverthreadscollective.example,River Threads Collective,Midwest,solo,250k-500k,7 years,1-head,Contract embroidery,Small business/local orgs,stitch rate,once a year,Partially,Depends on the job,Partially,We review and adjust,Sometimes,I have a basic spreadsheet,Sometimes,Depends on the job,Partially,Sometimes,Pricing is the hardest part of the business.,clean
R_PD_000214,2026-03-21 05:02:48,"Mar 21, 2026 05:13 AM",IP Address,100,618,Complete,03/21/26 05:14 AM,web,en-US,OWNER@GOLDENTEAMWEARLLC.EXAMPLE,Golden Teamwear LLC,South,6-10,$500k-$1m,about 13,5 machines,Mixed services,Mostly consumers,mostly stitch count,when costs change,For larger jobs only,Always,Rough estimate,Rough estimate,Partially,I don't track this,For larger jobs only,Rough estimate,Sometimes,I have a basic spreadsheet,We are trying to stop undercharging.,clean
R_PD_000215,03/03/26 01:59 PM,2026-03-03T14:06:07Z,IP Address,100,424,Complete,2026-03-03T14:07:10Z,newsletter,EN,quotes6@goldenwearablesstudio.example,Golden Wearables Studio,South,2 to 5 employees,About $250k-$500k,18 years,2 heads,Decorated apparel,Schools/teams,cost plus,when costs change,We review and adjust,Rough estimate,We review and adjust,Rough estimate,Sometimes,For larger jobs only,We use a calculator/spreadsheet,Partially,Built into our quote process,"Yes, documented",,clean
R_PD_000216,2026-02-05 23:19:00,02/05/26 11:28 PM,IP Address,100,554,Complete,02/05/26 11:28 PM,email,en-US,hello@riverdigitizingllc.example,River Digitizing LLC,,30 employees,About $250k-$500k,15 yrs,10+,Decorated apparel,Mostly consumers,$/hour,each quarter,Depends on the job,Built into our quote process,Yes,,We use a calculator/spreadsheet,We review and adjust,Yes,Rough estimate,Always,Yes,,clean
R_PD_000217,"Mar 16, 2026 10:05 AM","Mar 16, 2026 10:12 AM",IP Address,100,424,True,03/16/2026 10:12,newsletter,EN, info1@goldenapparelllc.example ,Golden Apparel LLC,Canada/Other,2 to 5 employees,$50k-$100k,new,single head,Custom embroidery,Mixed,match local shops,only when vendors raise prices,Yes,Depends on the job,Rough estimate,Depends on the job,Sometimes,Partially,Depends on the job,I usually guess,I have a basic spreadsheet,Not yet,,clean
R_PD_000218,02/24/26 06:48 PM,02/24/26 06:53 PM,IP Address,100,300,True,"Feb 24, 2026 06:53 PM",email,English,owner@brightwearablescollect.example,Bright Wearables Collective,Midwest,3 employees,$50k-$100k,since 2024,1 machines,Promotional products,Small business/local orgs,costing worksheet,when I remember,I have a basic spreadsheet,I don't track this,For larger jobs only,No consistent process,Rough estimate,Not really,No consistent process,No consistent process,I don't track this,Not really,I need a better way to account for setup time.,clean
