canonical_email,business_name_clean,region,business_size,annual_revenue_band,years_in_operation,years_in_operation_band,machine_count,primary_business_model,customer_mix,current_pricing_method,price_review_frequency,production_cost_score,real_labor_score,intended_profit_score,capacity_pressure_score,end_customer_value_score,diagnostic_total_score,pricing_maturity_tier,has_structured_pricing_system,labor_underpriced_flag,profit_target_missing_flag,capacity_pricing_gap_flag,Open Comment,q1_score,q2_score,q3_score,q4_score,q5_score,q6_score,q7_score,q8_score,q9_score,q10_score,business_size_segment,revenue_segment,experience_segment,pricing_method_segment,customer_focus_segment,weakest_driver_segment,region_segment
hello@brightteamwearstudio16.example,Bright Teamwear Studio #1618,Midwest,Solo owner/operator,$100k-$250k,1,<2,1,Mixed services,Contract/B2B,Unknown,Unknown,0,0,0,0,0,0,Pricing Blind Spots,False,True,True,True,Pricing is the hardest part of the business.,0,0,0,0,0,0,0,0,0,0,Solo owner/operator,$100k-$500k,Newcomer (0-3 yrs),Unknown,B2B,Production Cost,Midwest
quotes@northstarteamwearshop.example,North Star Teamwear Shop,South,Solo owner/operator,$100k-$250k,25,21+,1,Promotional products,Unknown,Informal/custom quote,Quarterly,3,2,2,1,1,9,Partial Pricing System,False,False,False,True,I need a better way to account for setup time.,1,2,1,1,1,1,1,0,0,1,Solo owner/operator,$100k-$500k,Legacy (21+),Informal/custom quote,Mixed,Capacity Pressure,South
quotes@silverwearablescompany.example,Silver Wearables Company #1617,West,2-5 employees,$250k-$500k,9,6-10,12,Custom embroidery,Corporate/commercial,Stitch-count based,Annually,4,4,4,4,4,20,Strong Pricing System,True,False,False,False,I need a better way to account for setup time.,2,2,2,2,2,2,2,2,2,2,2-5 employees,$100k-$500k,Established (4-10),Stitch-count based,B2B,Production Cost,West
owner@pinewearablesgroup1400.example,Pine Wearables Group #1400,South,Solo owner/operator,$100k-$250k,24,21+,1,Team/school spiritwear,Mixed,Informal/custom quote,Quarterly,2,2,2,1,2,9,Partial Pricing System,False,False,False,True,,1,1,1,1,1,1,0,1,1,1,Solo owner/operator,$100k-$500k,Legacy (21+),Informal/custom quote,Mixed,Capacity Pressure,South
office@ironcustomsgroup.example,Iron Customs Group,Northeast,Solo owner/operator,$50k-$100k,4,2-5,1,Contract embroidery,Mostly consumers,Cost-plus,Annually,4,2,2,2,3,13,Partial Pricing System,False,False,False,False,,2,2,1,1,1,1,1,1,1,2,Solo owner/operator,Under $100k,Established (4-10),Cost-plus,Consumer,Real Labor,Northeast
info@summitlogoshopstudio.example,Summit Logo Shop Studio,Midwest,Solo owner/operator,Under $50k,3,2-5,1,Promotional products,Mixed,Informal/custom quote,When costs change,1,0,0,0,0,1,Pricing Blind Spots,False,True,True,True,We are trying to stop undercharging.,0,1,0,0,0,0,0,0,0,0,Solo owner/operator,Under $100k,Newcomer (0-3 yrs),Informal/custom quote,Mixed,Real Labor,Midwest
quotes@willowthreadsgroup1519.example,Willow Threads Group #1519,Midwest,2-5 employees,$100k-$250k,26,21+,4,Promotional products,Contract/B2B,Unknown,Annually,4,4,4,4,4,20,Strong Pricing System,True,False,False,False,Pricing is the hardest part of the business.,2,2,2,2,2,2,2,2,2,2,2-5 employees,$100k-$500k,Legacy (21+),Unknown,B2B,Production Cost,Midwest
info@stitchworksshop1456.example,Stitch Works Shop #1456,West,Unknown,$50k-$100k,2,2-5,1,Mixed services,Mostly consumers,Stitch-count based,When costs change,3,4,1,2,3,13,Partial Pricing System,False,False,True,False,We are trying to stop undercharging.,1,2,2,2,1,0,1,1,2,1,Unknown,Under $100k,Newcomer (0-3 yrs),Stitch-count based,Consumer,Intended Profit,West
quotes@willowworksshop1630.example,Willow Works Shop #1630,South,2-5 employees,$100k-$250k,27,21+,1,Team/school spiritwear,Small business/local orgs,Value-based,Annually,4,3,4,2,2,15,Strong Pricing System,True,False,False,False,Pricing is the hardest part of the business.,2,2,2,1,2,2,1,1,1,1,2-5 employees,$100k-$500k,Legacy (21+),Value-based,Mixed,Capacity Pressure,South
quotes2@needleprintstitch.example,Needle Print & Stitch,South,2-5 employees,$100k-$250k,20,11-20,3,Contract embroidery,Mixed,Stitch-count based,When costs change,3,3,3,3,3,15,Strong Pricing System,True,False,False,False,Rush jobs are where we get into trouble.,1,2,2,1,2,1,2,1,1,2,2-5 employees,$100k-$500k,Veteran (11-20),Stitch-count based,Mixed,Production Cost,South
info@rivercreativestudio.example,River Creative Studio,Midwest,Solo owner/operator,$100k-$250k,10,6-10,1,Custom embroidery,Contract/B2B,Unknown,Rarely/never,2,0,1,1,1,5,Pricing Blind Spots,False,True,True,True,We are trying to stop undercharging.,1,1,0,0,1,0,0,1,1,0,Solo owner/operator,$100k-$500k,Established (4-10),Unknown,B2B,Real Labor,Midwest
contact@stitchstudiocollective.example,Stitch Studio Collective,West,Solo owner/operator,Under $50k,0,<2,2,Mixed services,Mostly consumers,Competitor-based,When costs change,0,0,0,0,0,0,Pricing Blind Spots,False,True,True,True,We are trying to stop undercharging.,0,0,0,0,0,0,0,0,0,0,Solo owner/operator,Under $100k,Newcomer (0-3 yrs),Competitor-based,Consumer,Production Cost,West
sales@pinemonogramsllc.example,Pine Monograms Llc,South,2-5 employees,$250k-$500k,20,11-20,10,Promotional products,Corporate/commercial,Cost-plus,Quarterly,4,4,4,4,4,20,Strong Pricing System,True,False,False,False,,2,2,2,2,2,2,2,2,2,2,2-5 employees,$100k-$500k,Veteran (11-20),Cost-plus,B2B,Production Cost,South
office@maplestudiostudio1726.example,Maple Studio Studio #1726,West,Solo owner/operator,$100k-$250k,20,11-20,2,Custom embroidery,Schools/teams,Stitch-count based,Rarely/never,2,0,1,0,1,4,Pricing Blind Spots,False,True,True,True,We are trying to stop undercharging.,1,1,0,0,0,1,0,0,0,1,Solo owner/operator,$100k-$500k,Veteran (11-20),Stitch-count based,Mixed,Real Labor,West
owner@mainstreetcustomsgroup.example,Main Street Customs Group,West,2-5 employees,$50k-$100k,13,11-20,3,Promotional products,Unknown,Cost-plus,Annually,3,2,2,2,2,11,Partial Pricing System,False,False,False,False,Rush jobs are where we get into trouble.,1,2,1,1,1,1,1,1,1,1,2-5 employees,Under $100k,Veteran (11-20),Cost-plus,Mixed,Real Labor,West
owner@mapledecoratedgoodsstu.example,Maple Decorated Goods Studio,Northeast,6-10 employees,$500k-$1M,5,2-5,6,Custom embroidery,Mostly consumers,Cost-plus,Annually,4,4,2,4,3,17,Strong Pricing System,True,False,False,False,Rush jobs are where we get into trouble.,2,2,2,2,1,1,2,2,1,2,6-10 employees,$500k+,Established (4-10),Cost-plus,Consumer,Intended Profit,Northeast
info3@lakesidestitchcocollec.example,Lakeside Stitch Co. Collective #1717,West,2-5 employees,$250k-$500k,20,11-20,20,Mixed services,Contract/B2B,Cost-plus,Annually,4,3,4,2,4,17,Strong Pricing System,True,False,False,False,,2,2,2,1,2,2,1,1,2,2,2-5 employees,$100k-$500k,Veteran (11-20),Cost-plus,B2B,Capacity Pressure,West
owner@threaddecoratedgoodsgr.example,Thread Decorated Goods Group,Northeast,Solo owner/operator,Prefer not to say,17,11-20,2,Custom embroidery,Mostly consumers,Cost-plus,When costs change,4,4,2,1,3,14,Partial Pricing System,False,False,False,True,I need a better way to account for setup time.,2,2,2,2,0,2,0,1,2,1,Solo owner/operator,Unknown,Veteran (11-20),Cost-plus,Consumer,Capacity Pressure,Northeast
contact@prairiedesignsstudio.example,Prairie Designs Studio,South,6-10 employees,$250k-$500k,1,<2,2,Custom embroidery,Mixed,Cost-plus,Quarterly,3,1,2,2,4,12,Partial Pricing System,False,True,False,False,Pricing is the hardest part of the business.,1,2,1,0,1,1,1,1,2,2,6-10 employees,$100k-$500k,Newcomer (0-3 yrs),Cost-plus,Mixed,Real Labor,South
contact3@blueridgebrandingcompa.example,Blue Ridge Branding Company,South,2-5 employees,$250k-$500k,2,2-5,3,Team/school spiritwear,Contract/B2B,Competitor-based,Annually,2,2,1,1,2,8,Partial Pricing System,False,False,True,True,Most customers compare us by stitch count.,1,1,1,1,1,0,0,1,1,1,2-5 employees,$100k-$500k,Newcomer (0-3 yrs),Competitor-based,B2B,Intended Profit,South
info1@prairieprintstitchstud.example,Prairie Print & Stitch Studio #1673,Midwest,2-5 employees,$100k-$250k,2,2-5,4,Mixed services,Corporate/commercial,Stitch-count based,Annually,2,2,2,2,3,11,Partial Pricing System,False,False,False,False,Most customers compare us by stitch count.,0,2,1,1,1,1,1,1,1,2,2-5 employees,$100k-$500k,Newcomer (0-3 yrs),Stitch-count based,B2B,Production Cost,Midwest
owner@needlebrandinggroup165.example,Needle Branding Group #1659,Northeast,Solo owner/operator,$100k-$250k,11,11-20,1,Custom embroidery,Contract/B2B,Stitch-count based,Annually,2,3,2,2,3,12,Partial Pricing System,False,False,False,False,Most customers compare us by stitch count.,1,1,2,1,1,1,1,1,1,2,Solo owner/operator,$100k-$500k,Veteran (11-20),Stitch-count based,B2B,Production Cost,Northeast
owner@magnoliaprintstitchsho.example,Magnolia Print & Stitch Shop #1457,West,Solo owner/operator,Under $50k,0,<2,2,Mixed services,Unknown,Cost-plus,Rarely/never,1,0,1,0,1,3,Pricing Blind Spots,False,True,True,True,,1,0,0,0,1,0,0,0,0,1,Solo owner/operator,Under $100k,Newcomer (0-3 yrs),Cost-plus,Mixed,Real Labor,West
quotes@northstarmonogramsstud.example,North Star Monograms Studio #1663,Midwest,Solo owner/operator,Under $50k,3,2-5,2,Team/school spiritwear,Unknown,Stitch-count based,Quarterly,2,2,2,1,2,9,Partial Pricing System,False,False,False,True,I need a better way to account for setup time.,1,1,1,1,1,1,1,0,1,1,Solo owner/operator,Under $100k,Newcomer (0-3 yrs),Stitch-count based,Mixed,Capacity Pressure,Midwest
hello0@heritagebrandingshop.example,Heritage Branding Shop,Northeast,2-5 employees,Unknown,2,2-5,10,Contract embroidery,Small business/local orgs,Informal/custom quote,Annually,3,1,2,1,2,9,Partial Pricing System,False,True,False,True,We are trying to stop undercharging.,2,1,0,1,1,1,1,0,1,1,2-5 employees,Unknown,Newcomer (0-3 yrs),Informal/custom quote,Mixed,Real Labor,Northeast
sales2@redbarnstitchcocompany.example,Red Barn Stitch Co. Company,West,6-10 employees,Unknown,21,21+,6,Custom embroidery,Mixed,Stitch-count based,When costs change,4,2,2,2,2,12,Partial Pricing System,False,False,False,False,,2,2,1,1,1,1,1,1,1,1,6-10 employees,Unknown,Legacy (21+),Stitch-count based,Mixed,Real Labor,West
quotes@lakesideworks1670.example,Lakeside Works #1670,Midwest,6-10 employees,$250k-$500k,14,11-20,6,Decorated apparel,Mixed,Cost-plus,Annually,2,2,2,2,4,12,Partial Pricing System,False,False,False,False,We are trying to stop undercharging.,1,1,1,1,1,1,1,1,2,2,6-10 employees,$100k-$500k,Veteran (11-20),Cost-plus,Mixed,Production Cost,Midwest
hello@lakesideapparelcollect.example,Lakeside Apparel Collective,Northeast,2-5 employees,$50k-$100k,20,11-20,2,Promotional products,Mixed,Stitch-count based,Annually,4,2,1,2,2,11,Partial Pricing System,False,False,True,False,Most customers compare us by stitch count.,2,2,1,1,0,1,1,1,1,1,2-5 employees,Under $100k,Veteran (11-20),Stitch-count based,Mixed,Intended Profit,Northeast
sales@needleapparel.example,Needle Apparel,Midwest,2-5 employees,$50k-$100k,30,21+,1,Custom embroidery,Mixed,Informal/custom quote,Quarterly,4,4,4,4,4,20,Strong Pricing System,True,False,False,False,Rush jobs are where we get into trouble.,2,2,2,2,2,2,2,2,2,2,2-5 employees,Under $100k,Legacy (21+),Informal/custom quote,Mixed,Production Cost,Midwest
office@silverworksstudio1579.example,Silver Works Studio #1579,Midwest,2-5 employees,$50k-$100k,11,11-20,5,Decorated apparel,Contract/B2B,Competitor-based,Annually,3,2,2,2,2,11,Partial Pricing System,False,False,False,False,,2,1,1,1,1,1,1,1,1,1,2-5 employees,Under $100k,Veteran (11-20),Competitor-based,B2B,Real Labor,Midwest
owner@northstarstudioshop.example,North Star Studio Shop,South,Unknown,$250k-$500k,8,6-10,1,Mixed services,Schools/teams,Stitch-count based,Annually,4,2,1,1,2,10,Partial Pricing System,False,False,True,True,Rush jobs are where we get into trouble.,2,2,1,1,0,1,1,0,1,1,Unknown,$100k-$500k,Established (4-10),Stitch-count based,Mixed,Intended Profit,South
hello2@cedarapparelshop.example,Cedar Apparel Shop,Midwest,Solo owner/operator,Under $50k,8,6-10,1,Decorated apparel,Corporate/commercial,Informal/custom quote,Unknown,0,0,0,0,0,0,Pricing Blind Spots,False,True,True,True,Most customers compare us by stitch count.,0,0,0,0,0,0,0,0,0,0,Solo owner/operator,Under $100k,Established (4-10),Informal/custom quote,B2B,Production Cost,Midwest
quotes@prairiecustomsshop.example,Prairie Customs Shop,South,2-5 employees,Under $50k,9,6-10,2,Mixed services,Mixed,Hybrid/job costing,When costs change,2,2,2,2,1,9,Partial Pricing System,False,False,False,False,We are trying to stop undercharging.,1,1,0,2,1,1,1,1,1,0,2-5 employees,Under $100k,Established (4-10),Hybrid/job costing,Mixed,End Customer Value,South
quotes6@goldenwearablesstudio.example,Golden Wearables Studio,South,2-5 employees,$100k-$250k,18,11-20,2,Decorated apparel,Schools/teams,Cost-plus,When costs change,3,3,2,3,4,15,Strong Pricing System,True,False,False,False,,2,1,2,1,1,1,2,1,2,2,2-5 employees,$100k-$500k,Veteran (11-20),Cost-plus,Mixed,Intended Profit,South
info5@mainstreetstitchcogrou.example,Main Street Stitch Co. Group #1432,Midwest,Solo owner/operator,$50k-$100k,9,6-10,3,Custom embroidery,Contract/B2B,Stitch-count based,Annually,3,2,3,2,2,12,Partial Pricing System,False,False,False,False,,2,1,1,1,1,2,1,1,1,1,Solo owner/operator,Under $100k,Established (4-10),Stitch-count based,B2B,Real Labor,Midwest
quotes@oakbrandingcollective1.example,Oak Branding Collective #1692,South,Unknown,Under $50k,0,<2,1,Mixed services,Mostly consumers,Stitch-count based,When costs change,2,2,1,2,2,9,Partial Pricing System,False,False,True,False,Most customers compare us by stitch count.,1,1,1,1,1,0,1,1,1,1,Unknown,Under $100k,Newcomer (0-3 yrs),Stitch-count based,Consumer,Intended Profit,South
owner2@mainstreetdigitizing14.example,Main Street Digitizing #1464,Midwest,Unknown,Prefer not to say,7,6-10,3,Unknown,Mostly consumers,Stitch-count based,Unknown,4,3,3,3,2,15,Strong Pricing System,True,False,False,False,Rush jobs are where we get into trouble.,2,2,2,1,1,2,2,1,1,1,Unknown,Unknown,Established (4-10),Stitch-count based,Consumer,End Customer Value,Midwest
office0@oakthreadsshop.example,Oak Threads Shop,South,6-10 employees,$250k-$500k,25,21+,10,Custom embroidery,Mostly consumers,Cost-plus,Quarterly,4,4,4,4,4,20,Strong Pricing System,True,False,False,False,I need a better way to account for setup time.,2,2,2,2,2,2,2,2,2,2,6-10 employees,$100k-$500k,Legacy (21+),Cost-plus,Consumer,Production Cost,South
sales@crownwearablescompany.example,Crown Wearables Company,Midwest,Solo owner/operator,$100k-$250k,24,21+,1,Decorated apparel,Schools/teams,Value-based,Unknown,4,4,3,4,3,18,Strong Pricing System,True,False,False,False,Most customers compare us by stitch count.,2,2,2,2,1,2,2,2,2,1,Solo owner/operator,$100k-$500k,Legacy (21+),Value-based,Mixed,Intended Profit,Midwest
owner@hoopdecoratedgoodscoll.example,Hoop Decorated Goods Collective #1684,Northeast,2-5 employees,$100k-$250k,20,11-20,1,Custom embroidery,Corporate/commercial,Value-based,When costs change,3,3,3,1,2,12,Partial Pricing System,False,False,False,True,,2,1,1,2,2,1,1,0,1,1,2-5 employees,$100k-$500k,Veteran (11-20),Value-based,B2B,Capacity Pressure,Northeast
sales@northstarthreadscollec.example,North Star Threads Collective #1451,West,2-5 employees,$100k-$250k,5,2-5,3,Promotional products,Corporate/commercial,Cost-plus,Quarterly,3,2,2,2,3,12,Partial Pricing System,False,False,False,False,Rush jobs are where we get into trouble.,1,2,1,1,1,1,1,1,1,2,2-5 employees,$100k-$500k,Established (4-10),Cost-plus,B2B,Real Labor,West
contact0@northstarprintstitchco.example,North Star Print & Stitch Collective #1637,West,6-10 employees,$100k-$250k,11,11-20,4,Custom embroidery,Corporate/commercial,Hybrid/job costing,When costs change,3,4,3,2,2,14,Partial Pricing System,False,False,False,False,,1,2,2,2,2,1,1,1,1,1,6-10 employees,$100k-$500k,Veteran (11-20),Hybrid/job costing,B2B,Capacity Pressure,West
info4@cedarcreativecollectiv.example,Cedar Creative Collective,South,Unknown,$50k-$100k,0,<2,1,Decorated apparel,Contract/B2B,Informal/custom quote,When costs change,0,0,0,0,0,0,Pricing Blind Spots,False,True,True,True,Most customers compare us by stitch count.,0,0,0,0,0,0,0,0,0,0,Unknown,Under $100k,Newcomer (0-3 yrs),Informal/custom quote,B2B,Production Cost,South
hello@prairiethreadscompany1.example,Prairie Threads Company #1428,South,Solo owner/operator,$100k-$250k,10,6-10,1,Promotional products,Mostly consumers,Cost-plus,When costs change,2,2,2,2,2,10,Partial Pricing System,False,False,False,False,Rush jobs are where we get into trouble.,1,1,1,1,1,1,1,1,1,1,Solo owner/operator,$100k-$500k,Established (4-10),Cost-plus,Consumer,Production Cost,South
sales@prairiethreadsllc1395.example,Prairie Threads Llc #1395,South,2-5 employees,Unknown,10,6-10,3,Promotional products,Mostly consumers,Informal/custom quote,Quarterly,3,2,2,1,1,9,Partial Pricing System,False,False,False,True,Pricing is the hardest part of the business.,2,1,1,1,1,1,1,0,1,0,2-5 employees,Unknown,Established (4-10),Informal/custom quote,Consumer,Capacity Pressure,South
owner@willowstitchco1606.example,Willow Stitch Co. #1606,Midwest,2-5 employees,$100k-$250k,14,11-20,2,Custom embroidery,Mixed,Stitch-count based,When costs change,4,2,3,3,2,14,Partial Pricing System,False,False,False,False,I need a better way to account for setup time.,2,2,1,1,1,2,2,1,1,1,2-5 employees,$100k-$500k,Veteran (11-20),Stitch-count based,Mixed,Real Labor,Midwest
quotes@lakesideteamwearshop.example,Lakeside Teamwear Shop,Northeast,2-5 employees,$100k-$250k,0,<2,4,Mixed services,Schools/teams,Cost-plus,Annually,4,4,3,2,2,15,Strong Pricing System,True,False,False,False,Pricing is the hardest part of the business.,2,2,2,2,2,1,1,1,1,1,2-5 employees,$100k-$500k,Newcomer (0-3 yrs),Cost-plus,Mixed,Capacity Pressure,Northeast
office3@urbanwearablesgroup164.example,Urban Wearables Group #1640,West,6-10 employees,$100k-$250k,22,21+,6,Promotional products,Mixed,Cost-plus,When costs change,4,4,4,3,4,19,Strong Pricing System,True,False,False,False,I need a better way to account for setup time.,2,2,2,2,2,2,1,2,2,2,6-10 employees,$100k-$500k,Legacy (21+),Cost-plus,Mixed,Capacity Pressure,West
quotes@lakesidewearablesllc14.example,Lakeside Wearables Llc #1478,West,2-5 employees,$100k-$250k,18,11-20,3,Decorated apparel,Corporate/commercial,Unknown,Annually,2,2,2,2,2,10,Partial Pricing System,False,False,False,False,Most customers compare us by stitch count.,1,1,1,1,1,1,1,1,1,1,2-5 employees,$100k-$500k,Veteran (11-20),Unknown,B2B,Production Cost,West
contact@needlecustomsllc1566.example,Needle Customs Llc #1566,West,2-5 employees,Unknown,11,11-20,6,Custom embroidery,Corporate/commercial,Stitch-count based,Before every quote,2,2,2,0,3,9,Partial Pricing System,False,False,False,True,We are trying to stop undercharging.,1,1,1,1,1,1,0,0,2,1,2-5 employees,Unknown,Veteran (11-20),Stitch-count based,B2B,Capacity Pressure,West
info@prairiewearablescollec.example,Prairie Wearables Collective,Northeast,Solo owner/operator,$100k-$250k,24,21+,2,Contract embroidery,Contract/B2B,Stitch-count based,Annually,2,2,2,2,0,8,Partial Pricing System,False,False,False,False,Most customers compare us by stitch count.,1,1,0,2,1,1,1,1,0,0,Solo owner/operator,$100k-$500k,Legacy (21+),Stitch-count based,B2B,End Customer Value,Northeast
owner4@goldenlogoshopgroup.example,Golden Logo Shop Group,Midwest,Unknown,$50k-$100k,7,6-10,1,Contract embroidery,Corporate/commercial,Stitch-count based,Quarterly,2,3,2,2,2,11,Partial Pricing System,False,False,False,False,I need a better way to account for setup time.,1,1,2,1,1,1,1,1,1,1,Unknown,Under $100k,Established (4-10),Stitch-count based,B2B,Production Cost,Midwest
info@hoopbrandingstudio1550.example,Hoop Branding Studio #1550,South,2-5 employees,$100k-$250k,6,6-10,10,Contract embroidery,Schools/teams,Stitch-count based,Unknown,4,3,2,2,3,14,Partial Pricing System,False,False,False,False,Most customers compare us by stitch count.,2,2,1,2,1,1,1,1,2,1,2-5 employees,$100k-$500k,Established (4-10),Stitch-count based,Mixed,Intended Profit,South
contact@sunriseteamwearcompany.example,Sunrise Teamwear Company #1607,Northeast,11-25 employees,$500k-$1M,14,11-20,8,Unknown,Mixed,Competitor-based,When costs change,3,2,3,2,2,12,Partial Pricing System,False,False,False,False,Rush jobs are where we get into trouble.,2,1,1,1,1,2,1,1,1,1,11-25 employees,$500k+,Veteran (11-20),Competitor-based,Mixed,Real Labor,Northeast
info4@threadcustomsstudio147.example,Thread Customs Studio #1473,Midwest,2-5 employees,$100k-$250k,6,6-10,3,Promotional products,Mostly consumers,Cost-plus,Unknown,2,2,2,2,2,10,Partial Pricing System,False,False,False,False,We are trying to stop undercharging.,1,1,1,1,1,1,1,1,1,1,2-5 employees,$100k-$500k,Established (4-10),Cost-plus,Consumer,Production Cost,Midwest
hello@sunriselogoshopgroup.example,Sunrise Logo Shop Group,Canada/Other,2-5 employees,$100k-$250k,18,11-20,4,Custom embroidery,Mixed,Stitch-count based,Unknown,2,1,1,0,1,5,Pricing Blind Spots,False,True,True,True,Pricing is the hardest part of the business.,1,1,0,1,0,1,0,0,0,1,2-5 employees,$100k-$500k,Veteran (11-20),Stitch-count based,Mixed,Capacity Pressure,Canada/Other
contact5@mainstreetdesignsgroup.example,Main Street Designs Group #1698,South,2-5 employees,$100k-$250k,13,11-20,4,Custom embroidery,Mixed,Stitch-count based,Annually,3,3,3,2,4,15,Strong Pricing System,True,False,False,False,,2,1,2,1,1,2,1,1,2,2,2-5 employees,$100k-$500k,Veteran (11-20),Stitch-count based,Mixed,Capacity Pressure,South
sales0@urbanteamwearcollectiv.example,Urban Teamwear Collective,Northeast,2-5 employees,$100k-$250k,6,6-10,2,Promotional products,Mixed,Competitor-based,Annually,2,2,1,2,1,8,Partial Pricing System,False,False,True,False,Most customers compare us by stitch count.,1,1,1,1,0,1,1,1,0,1,2-5 employees,$100k-$500k,Established (4-10),Competitor-based,Mixed,Intended Profit,Northeast
contact5@bobbinworks.example,Bobbin Works,Canada/Other,2-5 employees,$100k-$250k,13,11-20,3,Mixed services,Corporate/commercial,Stitch-count based,Annually,3,2,2,2,2,11,Partial Pricing System,False,False,False,False,We are trying to stop undercharging.,1,2,1,1,1,1,1,1,1,1,2-5 employees,$100k-$500k,Veteran (11-20),Stitch-count based,B2B,Real Labor,Canada/Other
office@needlestudiocollective.example,Needle Studio Collective #1647,South,2-5 employees,$100k-$250k,12,11-20,2,Mixed services,Corporate/commercial,Cost-plus,When costs change,4,3,3,3,2,15,Strong Pricing System,True,False,False,False,Rush jobs are where we get into trouble.,2,2,1,2,2,1,1,2,1,1,2-5 employees,$100k-$500k,Veteran (11-20),Cost-plus,B2B,End Customer Value,South
owner6@sunrisedesigns1440.example,Sunrise Designs #1440,Northeast,2-5 employees,$100k-$250k,16,11-20,5,Unknown,Corporate/commercial,Informal/custom quote,When costs change,4,4,3,4,4,19,Strong Pricing System,True,False,False,False,Most customers compare us by stitch count.,2,2,2,2,1,2,2,2,2,2,2-5 employees,$100k-$500k,Veteran (11-20),Informal/custom quote,B2B,Intended Profit,Northeast
owner@redbarndigitizinggroup.example,Red Barn Digitizing Group #1668,West,2-5 employees,$500k-$1M,12,11-20,2,Mixed services,Unknown,Stitch-count based,Quarterly,2,2,2,2,2,10,Partial Pricing System,False,False,False,False,Rush jobs are where we get into trouble.,1,1,1,1,1,1,1,1,1,1,2-5 employees,$500k+,Veteran (11-20),Stitch-count based,Mixed,Production Cost,West
office@goldenmonogramsgroup.example,Golden Monograms Group,West,Unknown,Under $50k,12,11-20,2,Team/school spiritwear,Mixed,Competitor-based,Rarely/never,2,2,1,0,1,6,Pricing Blind Spots,False,False,True,True,I need a better way to account for setup time.,1,1,1,1,1,0,0,0,1,0,Unknown,Under $100k,Veteran (11-20),Competitor-based,Mixed,Capacity Pressure,West
contact5@crownthreadscollective.example,Crown Threads Collective #1474,West,2-5 employees,Unknown,8,6-10,4,Custom embroidery,Schools/teams,Stitch-count based,When costs change,4,3,2,2,2,13,Partial Pricing System,False,False,False,False,Most customers compare us by stitch count.,2,2,2,1,1,1,1,1,1,1,2-5 employees,Unknown,Established (4-10),Stitch-count based,Mixed,Intended Profit,West
hello@urbanteamwearshop.example,Urban Teamwear Shop,South,6-10 employees,$250k-$500k,3,2-5,5,Custom embroidery,Mixed,Competitor-based,Quarterly,2,1,2,2,1,8,Partial Pricing System,False,True,False,False,Pricing is the hardest part of the business.,1,1,0,1,1,1,1,1,1,0,6-10 employees,$100k-$500k,Newcomer (0-3 yrs),Competitor-based,Mixed,Real Labor,South
office@bobbinmonogramscollect.example,Bobbin Monograms Collective,West,2-5 employees,$100k-$250k,23,21+,2,Custom embroidery,Small business/local orgs,Cost-plus,When costs change,4,4,2,2,2,14,Partial Pricing System,False,False,False,False,Most customers compare us by stitch count.,2,2,2,2,1,1,1,1,1,1,2-5 employees,$100k-$500k,Legacy (21+),Cost-plus,Mixed,Intended Profit,West
office@oakneedleworks.example,Oak Needleworks,Northeast,2-5 employees,Under $50k,4,2-5,2,Custom embroidery,Contract/B2B,Cost-plus,Rarely/never,3,2,2,1,3,11,Partial Pricing System,False,False,False,True,,2,1,1,1,1,1,1,0,1,2,2-5 employees,Under $100k,Established (4-10),Cost-plus,B2B,Capacity Pressure,Northeast
info4@riverstudiocollective1.example,River Studio Collective #1634,South,11-25 employees,$500k-$1M,14,11-20,5,Contract embroidery,Small business/local orgs,Stitch-count based,Rarely/never,4,4,2,2,2,14,Partial Pricing System,False,False,False,False,Rush jobs are where we get into trouble.,2,2,2,2,1,1,1,1,1,1,11-25 employees,$500k+,Veteran (11-20),Stitch-count based,Mixed,Intended Profit,South
office@willowdecoratedgoodsco.example,Willow Decorated Goods Collective,South,Solo owner/operator,$100k-$250k,17,11-20,2,Contract embroidery,Corporate/commercial,Value-based,Annually,4,2,3,2,4,15,Strong Pricing System,True,False,False,False,Rush jobs are where we get into trouble.,2,2,1,1,1,2,1,1,2,2,Solo owner/operator,$100k-$500k,Veteran (11-20),Value-based,B2B,Real Labor,South
hello@threadstitchcoshop1480.example,Thread Stitch Co. Shop #1480,South,6-10 employees,$500k-$1M,2,2-5,3,Custom embroidery,Mostly consumers,Informal/custom quote,Annually,2,2,2,2,1,9,Partial Pricing System,False,False,False,False,Most customers compare us by stitch count.,1,1,1,1,1,1,1,1,1,0,6-10 employees,$500k+,Newcomer (0-3 yrs),Informal/custom quote,Consumer,End Customer Value,South
contact@blueridgeworkscompany1.example,Blue Ridge Works Company #1686,South,6-10 employees,$100k-$250k,24,21+,5,Promotional products,Small business/local orgs,Stitch-count based,When costs change,4,3,3,2,3,15,Strong Pricing System,True,False,False,False,Most customers compare us by stitch count.,2,2,2,1,2,1,1,1,2,1,6-10 employees,$100k-$500k,Legacy (21+),Stitch-count based,Mixed,Capacity Pressure,South
sales@prairiethreadscollecti.example,Prairie Threads Collective #1494,South,2-5 employees,$250k-$500k,11,11-20,10,Promotional products,Corporate/commercial,Stitch-count based,When costs change,2,2,2,2,2,10,Partial Pricing System,False,False,False,False,I need a better way to account for setup time.,1,1,1,1,1,1,1,1,1,1,2-5 employees,$100k-$500k,Veteran (11-20),Stitch-count based,B2B,Production Cost,South
