respondent_id,business_name_clean,canonical_email,email_hash,region,business_size,employee_count,annual_revenue_band,years_in_operation,machine_count,primary_business_model,customer_mix,current_pricing_method,price_review_frequency,pricing_maturity_latent,in_pricing_diagnostic_clean,in_benchmark_clean,true_overlap_flag
NNEP-R0125,Bright Print & Stitch LLC,owner@brightprintstitchllc.example,emh_8b45d16fa1,Northeast,Solo owner/operator,1,$100k-$250k,15,5,Decorated apparel,Mixed,Competitor-based,When costs change,0.4032,True,False,False
NNEP-R0126,Iron Branding Studio,quotes@ironbrandingstudio.example,emh_5b2a08362e,West,Solo owner/operator,1,$250k-$500k,9,1,Contract embroidery,Mostly consumers,Stitch-count based,When costs change,0.135,True,False,False
NNEP-R0127,Hoop Stitch Co. Studio,info@hoopstitchcostudio.example,emh_fe51202183,Midwest,Solo owner/operator,1,Under $50k,6,1,Mixed services,Small business/local orgs,Stitch-count based,When costs change,0.3927,True,False,False
NNEP-R0128,River Stitch Co. LLC,quotes@riverstitchcollc.example,emh_152bc46452,Midwest,6-10 employees,6,$500k-$1M,14,5,Mixed services,Corporate/commercial,Hybrid/job costing,When costs change,0.6635,True,True,True
NNEP-R0129,Heritage Teamwear Group,contact@heritageteamweargroup.example,emh_78be9d1353,Northeast,2-5 employees,4,$500k-$1M,24,2,Custom embroidery,Small business/local orgs,Competitor-based,Before every quote,0.9269,False,True,False
NNEP-R0130,Bright Needleworks LLC,hello@brightneedleworksllc.example,emh_86fb723425,Midwest,Solo owner/operator,1,$500k-$1M,11,1,Team/school spiritwear,Small business/local orgs,Hybrid/job costing,Before every quote,0.9866,True,False,False
NNEP-R0131,Lakeside Needleworks Collective,owner@lakesideneedleworkscol.example,emh_7a6eb7f08a,Northeast,Solo owner/operator,1,$250k-$500k,12,2,Decorated apparel,Mixed,Value-based,When costs change,0.5228,True,False,False
NNEP-R0132,Cedar Teamwear Collective,quotes@cedarteamwearcollectiv.example,emh_379410fd8c,Northeast,2-5 employees,5,$250k-$500k,11,4,Custom embroidery,Mixed,Cost-plus,Rarely/never,0.4475,True,True,True
NNEP-R0133,Urban Teamwear Collective,sales0@urbanteamwearcollectiv.example,emh_6ed4c1d2ec,Northeast,2-5 employees,5,$100k-$250k,6,2,Promotional products,Mixed,Competitor-based,Annually,0.2922,True,False,False
NNEP-R0134,Hoop Digitizing Collective,info@hoopdigitizingcollecti.example,emh_eee816b38b,Northeast,Solo owner/operator,1,$100k-$250k,7,3,Mixed services,Contract/B2B,Informal/custom quote,Rarely/never,0.1732,True,True,True
NNEP-R0135,Willow Decorated Goods Collective,office@willowdecoratedgoodsco.example,emh_68b5d4da1f,South,Solo owner/operator,1,$100k-$250k,17,2,Contract embroidery,Corporate/commercial,Value-based,Annually,0.725,True,False,False
NNEP-R0136,Crown Designs Shop,info@crowndesignsshop.example,emh_db5cd249e8,Midwest,2-5 employees,4,$1M+,18,2,Mixed services,Mixed,Hybrid/job costing,Rarely/never,0.306,True,False,False
NNEP-R0137,Bobbin Print & Stitch,hello@bobbinprintstitch.example,emh_fc6f9f8823,West,2-5 employees,5,$100k-$250k,24,2,Decorated apparel,Corporate/commercial,Hourly rate,When costs change,0.4327,True,False,False
NNEP-R0138,Maple Creative,info@maplecreative.example,emh_ef87971881,South,6-10 employees,7,$100k-$250k,3,12,Custom embroidery,Mostly consumers,Cost-plus,Quarterly,0.954,True,False,False
NNEP-R0139,Willow Monograms LLC,sales@willowmonogramsllc.example,emh_4703e6eaeb,Midwest,Solo owner/operator,1,$100k-$250k,13,1,Decorated apparel,Mixed,Informal/custom quote,Rarely/never,0.2015,True,False,False
NNEP-R0140,Summit Apparel,contact@summitapparel.example,emh_e03c1b0685,South,2-5 employees,5,$500k-$1M,15,6,Custom embroidery,Mixed,Hourly rate,Rarely/never,0.4244,True,True,True
NNEP-R0141,Willow Studio Group,owner1@willowstudiogroup.example,emh_5dc03aceb2,Northeast,Solo owner/operator,1,$100k-$250k,0,2,Mixed services,Mixed,Informal/custom quote,Before every quote,0.4703,True,False,False
NNEP-R0142,Needle Print & Stitch,quotes2@needleprintstitch.example,emh_7f5d7590ba,South,2-5 employees,3,$100k-$250k,20,3,Contract embroidery,Mixed,Stitch-count based,Before every quote,0.7549,True,False,False
NNEP-R0143,Hoop Logo Shop Shop,owner@hooplogoshopshop.example,emh_a18e6365da,Northeast,6-10 employees,8,$100k-$250k,24,6,Contract embroidery,Mixed,Stitch-count based,When costs change,0.8042,True,False,False
NNEP-R0144,Sunrise Studio LLC,contact4@sunrisestudiollc.example,emh_6583cb9d94,Midwest,6-10 employees,7,$100k-$250k,19,5,Custom embroidery,Mixed,Informal/custom quote,Quarterly,0.7308,True,False,False
NNEP-R0145,Bright Customs Group,contact@brightcustomsgroup.example,emh_d7c0f26b97,South,2-5 employees,5,$100k-$250k,14,3,Contract embroidery,Schools/teams,Hybrid/job costing,Annually,0.6869,True,False,False
NNEP-R0146,Main Street Branding Shop,office@mainstreetbrandingshop.example,emh_f8adbd2f17,Northeast,2-5 employees,3,$1M+,4,3,Contract embroidery,Mixed,Hybrid/job costing,Before every quote,0.649,True,False,False
NNEP-R0147,River Designs Shop,quotes@riverdesignsshop.example,emh_af6e927f7e,South,2-5 employees,5,$50k-$100k,7,6,Mixed services,Contract/B2B,Stitch-count based,When costs change,0.5766,True,False,False
NNEP-R0148,North Star Studio Shop,owner@northstarstudioshop.example,emh_296826aeca,South,Solo owner/operator,1,$500k-$1M,8,1,Mixed services,Schools/teams,Stitch-count based,Annually,0.531,True,False,False
NNEP-R0149,Urban Decorated Goods Collective,contact2@urbandecoratedgoodscol.example,emh_d5054b0a85,South,2-5 employees,4,$100k-$250k,6,2,Decorated apparel,Mostly consumers,Competitor-based,Rarely/never,0.246,True,True,True
NNEP-R0150,Oak Teamwear Collective,owner@oakteamwearcollective.example,emh_0b0ac4e1f8,Midwest,Solo owner/operator,1,$100k-$250k,6,1,Custom embroidery,Corporate/commercial,Cost-plus,Annually,0.4549,True,False,False
NNEP-R0151,Hoop Needleworks Collective,hello@hoopneedleworkscollect.example,emh_9b4667cf31,Northeast,Solo owner/operator,1,$50k-$100k,0,1,Custom embroidery,Mostly consumers,Informal/custom quote,Rarely/never,0.1688,True,False,False
NNEP-R0152,Needle Apparel,sales@needleapparel.example,emh_741b045194,Midwest,2-5 employees,3,$50k-$100k,30,1,Custom embroidery,Mixed,Value-based,Quarterly,0.99,True,False,False
NNEP-R0153,Sunrise Monograms Company,owner@sunrisemonogramscompan.example,emh_422a8f4b36,Northeast,26+ employees,64,$1M+,36,8,Promotional products,Mixed,Cost-plus,When costs change,0.98,False,True,False
NNEP-R0154,Needle Works,contact@needleworks.example,emh_dad63b8575,Northeast,2-5 employees,3,$100k-$250k,27,3,Custom embroidery,Mostly consumers,Hybrid/job costing,When costs change,0.7826,True,False,False
NNEP-R0155,Silver Teamwear LLC,office1@silverteamwearllc.example,emh_61c06b45c4,Northeast,2-5 employees,4,$1M+,32,4,Custom embroidery,Schools/teams,Hybrid/job costing,Quarterly,0.8035,True,True,True
NNEP-R0156,Sunrise Customs Company,owner@sunrisecustomscompany.example,emh_0b506bd530,Midwest,Solo owner/operator,1,Under $50k,25,1,Mixed services,Mixed,Competitor-based,When costs change,0.2388,True,False,False
NNEP-R0157,Cedar Decorated Goods LLC,sales@cedardecoratedgoodsllc.example,emh_0bf52939fd,South,Solo owner/operator,1,Under $50k,6,1,Decorated apparel,Small business/local orgs,Competitor-based,When costs change,0.2088,True,False,False
NNEP-R0158,Maple Embroidery Company,hello@mapleembroiderycompany.example,emh_203c08abbc,Midwest,2-5 employees,5,$100k-$250k,14,2,Promotional products,Corporate/commercial,Stitch-count based,Annually,0.3912,True,False,False
NNEP-R0159,Silver Branding LLC,sales@silverbrandingllc.example,emh_2a9e5a3761,Midwest,6-10 employees,8,$250k-$500k,11,6,Decorated apparel,Contract/B2B,Informal/custom quote,Annually,0.3603,True,False,False
NNEP-R0160,Magnolia Apparel Studio,owner@magnoliaapparelstudio.example,emh_a9e3c5c024,South,2-5 employees,4,$100k-$250k,2,4,Mixed services,Corporate/commercial,Stitch-count based,Annually,0.6599,True,False,False
NNEP-R0161,Oak Threads Shop,office0@oakthreadsshop.example,emh_26947ab5dc,South,6-10 employees,9,$500k-$1M,25,10,Custom embroidery,Mostly consumers,Cost-plus,Quarterly,0.9193,True,False,False
NNEP-R0162,River Print & Stitch Studio,office@riverprintstitchstudio.example,emh_9a19fc4b07,South,Solo owner/operator,1,Under $50k,8,1,Contract embroidery,Mostly consumers,Cost-plus,When costs change,0.4522,True,False,False
NNEP-R0163,Lakeside Logo Shop Collective,hello@lakesidelogoshopcollec.example,emh_7613fe54fe,Midwest,2-5 employees,5,$1M+,14,10,Decorated apparel,Small business/local orgs,Cost-plus,Before every quote,0.6634,True,True,True
NNEP-R0164,Urban Teamwear Shop,hello@urbanteamwearshop.example,emh_c5bd293a39,South,6-10 employees,6,$500k-$1M,3,5,Custom embroidery,Mixed,Competitor-based,Quarterly,0.4432,True,False,False
NNEP-R0165,Main Street Decorated Goods LLC,quotes@mainstreetdecoratedgoo.example,emh_347f531176,West,6-10 employees,10,$1M+,11,6,Custom embroidery,Mostly consumers,Cost-plus,Quarterly,0.99,True,True,True
NNEP-R0166,Iron Customs Company,hello5@ironcustomscompany.example,emh_829a62719c,Midwest,Solo owner/operator,1,Under $50k,6,2,Mixed services,Mostly consumers,Hybrid/job costing,When costs change,0.6932,True,False,False
NNEP-R0167,Red Barn Teamwear Group,sales@redbarnteamweargroup.example,emh_b9de6841b6,Northeast,2-5 employees,4,$250k-$500k,19,3,Mixed services,Schools/teams,Competitor-based,When costs change,0.3704,True,False,False
NNEP-R0168,Bright Customs Collective,owner@brightcustomscollectiv.example,emh_041937ff3b,Midwest,2-5 employees,3,Under $50k,9,2,Team/school spiritwear,Corporate/commercial,Hybrid/job costing,When costs change,0.5051,True,True,True
NNEP-R0169,River Creative,hello@rivercreative.example,emh_c2bd8b3287,West,2-5 employees,2,$50k-$100k,25,1,Custom embroidery,Mixed,Cost-plus,When costs change,0.99,False,True,False
NNEP-R0170,Blue Ridge Decorated Goods Collective,sales2@blueridgedecoratedgood.example,emh_80336f34c8,South,2-5 employees,2,$1M+,15,8,Mixed services,Contract/B2B,Hourly rate,Quarterly,0.9351,True,False,False
NNEP-R0171,Lucky Print & Stitch Shop,sales@luckyprintstitchshop.example,emh_9b600f4ca6,Midwest,Solo owner/operator,1,Under $50k,11,4,Custom embroidery,Mostly consumers,Competitor-based,Rarely/never,0.0945,True,True,True
NNEP-R0172,Maple Threads Shop,owner@maplethreadsshop.example,emh_c4dc1f1e24,South,11-25 employees,13,$250k-$500k,13,5,Promotional products,Mixed,Hybrid/job costing,Annually,0.8965,True,False,False
NNEP-R0173,Crown Stitch Co. Company,contact@crownstitchcocompany.example,emh_959c6afda3,South,6-10 employees,8,$1M+,18,6,Promotional products,Small business/local orgs,Hourly rate,Quarterly,0.7199,True,False,False
NNEP-R0174,Heritage Needleworks Company,office@heritageneedleworkscom.example,emh_f30e7a697a,Midwest,Solo owner/operator,1,$500k-$1M,0,2,Custom embroidery,Small business/local orgs,Competitor-based,Rarely/never,0.0717,True,True,True
NNEP-R0175,Sunrise Print & Stitch Studio,contact@sunriseprintstitchstud.example,emh_0478d860e9,Canada/Other,6-10 employees,6,$250k-$500k,18,5,Mixed services,Mixed,Hybrid/job costing,Before every quote,0.99,True,False,False
NNEP-R0176,Lakeside Apparel Collective,hello@lakesideapparelcollect.example,emh_c6ca8b0dc5,Northeast,2-5 employees,3,$50k-$100k,20,2,Promotional products,Mixed,Stitch-count based,Annually,0.5531,True,False,False
NNEP-R0177,Lakeside Customs Group,owner@lakesidecustomsgroup.example,emh_75046ac9d8,West,Solo owner/operator,1,$250k-$500k,0,1,Mixed services,Corporate/commercial,Informal/custom quote,When costs change,0.3657,True,False,False
NNEP-R0178,Blue Ridge Branding Company,contact3@blueridgebrandingcompa.example,emh_d004ea4bed,South,2-5 employees,5,$500k-$1M,2,3,Team/school spiritwear,Contract/B2B,Competitor-based,Annually,0.519,True,False,False
NNEP-R0179,Main Street Apparel Company,office@mainstreetapparelcompa.example,emh_8cd5cae555,South,2-5 employees,3,$50k-$100k,11,2,Custom embroidery,Mostly consumers,Competitor-based,When costs change,0.0336,True,False,False
NNEP-R0180,Bobbin Works,contact5@bobbinworks.example,emh_1cf12e2439,Canada/Other,2-5 employees,4,$100k-$250k,13,3,Mixed services,Corporate/commercial,Stitch-count based,Annually,0.5559,True,False,False
NNEP-R0181,Silver Creative Studio,contact@silvercreativestudio.example,emh_3526f573e7,West,2-5 employees,5,$250k-$500k,24,10,Mixed services,Mostly consumers,Hybrid/job costing,Annually,0.8073,False,True,False
NNEP-R0182,Thread Decorated Goods Group,owner@threaddecoratedgoodsgr.example,emh_d0c2c1593e,Northeast,Solo owner/operator,1,$50k-$100k,17,2,Custom embroidery,Mostly consumers,Hybrid/job costing,When costs change,0.6015,True,False,False
NNEP-R0183,Sunrise Embroidery Studio,office@sunriseembroiderystudi.example,emh_207ca2886b,West,2-5 employees,2,$250k-$500k,0,4,Team/school spiritwear,Corporate/commercial,Cost-plus,Before every quote,0.6538,True,False,False
NNEP-R0184,Magnolia Works Collective,contact2@magnoliaworkscollectiv.example,emh_3651a3b2ef,South,6-10 employees,8,$100k-$250k,10,4,Custom embroidery,Schools/teams,Hybrid/job costing,Before every quote,0.971,False,True,False
NNEP-R0185,Willow Teamwear,owner3@willowteamwear.example,emh_13ccc01850,West,2-5 employees,4,$100k-$250k,1,2,Custom embroidery,Small business/local orgs,Stitch-count based,When costs change,0.5264,True,False,False
NNEP-R0186,Thread Wearables Shop,quotes@threadwearablesshop.example,emh_5d7f74c626,West,2-5 employees,4,Under $50k,2,2,Custom embroidery,Contract/B2B,Stitch-count based,When costs change,0.1789,True,False,False
NNEP-R0187,River Needleworks Company,quotes5@riverneedleworkscompan.example,emh_d775743077,Northeast,2-5 employees,4,$250k-$500k,4,4,Custom embroidery,Mixed,Value-based,Rarely/never,0.4344,True,False,False
NNEP-R0188,Heritage Decorated Goods Studio,sales@heritagedecoratedgoods.example,emh_aaaf9d63b5,Midwest,Solo owner/operator,1,$50k-$100k,10,1,Promotional products,Corporate/commercial,Hybrid/job costing,Annually,0.5293,True,False,False
NNEP-R0189,Prairie Studio Collective,sales@prairiestudiocollectiv.example,emh_7b8d1e77ed,West,Solo owner/operator,1,$250k-$500k,9,2,Decorated apparel,Contract/B2B,Cost-plus,Rarely/never,0.4225,False,True,False
NNEP-R0190,North Star Apparel Group,quotes@northstarapparelgroup.example,emh_d31d5b9c31,Northeast,2-5 employees,5,$250k-$500k,24,5,Custom embroidery,Mostly consumers,Stitch-count based,When costs change,0.402,True,False,False
NNEP-R0191,Maple Studio Collective,owner2@maplestudiocollective.example,emh_fa69f8ff92,West,2-5 employees,3,$1M+,10,3,Promotional products,Mostly consumers,Informal/custom quote,Annually,0.3989,True,True,True
NNEP-R0192,Heritage Stitch Co.,hello@heritagestitchco.example,emh_fc9defc0db,South,2-5 employees,4,$50k-$100k,8,2,Decorated apparel,Mixed,Hybrid/job costing,Annually,0.791,True,False,False
NNEP-R0193,Blue Ridge Threads Shop,sales@blueridgethreadsshop.example,emh_008f6aeaf6,Northeast,11-25 employees,14,$500k-$1M,18,10,Custom embroidery,Mixed,Informal/custom quote,Annually,0.6989,True,False,False
NNEP-R0194,Needle Branding Studio,contact@needlebrandingstudio.example,emh_630796332b,Midwest,2-5 employees,3,$500k-$1M,31,2,Custom embroidery,Contract/B2B,Stitch-count based,Before every quote,0.6357,True,False,False
NNEP-R0195,Bright Stitch Co.,owner@brightstitchco.example,emh_9a8613dddf,South,2-5 employees,3,$100k-$250k,16,4,Decorated apparel,Small business/local orgs,Cost-plus,Rarely/never,0.4772,True,False,False
NNEP-R0196,Pine Works Studio,office@pineworksstudio.example,emh_b37eea5a9b,Canada/Other,2-5 employees,3,$250k-$500k,14,3,Custom embroidery,Corporate/commercial,Cost-plus,Quarterly,0.99,True,False,False
NNEP-R0197,Summit Logo Shop Studio,info@summitlogoshopstudio.example,emh_015342e155,Midwest,Solo owner/operator,1,Under $50k,3,1,Promotional products,Mixed,Informal/custom quote,When costs change,0.1506,True,True,True
NNEP-R0198,Lakeside Apparel LLC,contact2@lakesideapparelllc.example,emh_4fe9b73f6f,West,11-25 employees,18,$1M+,11,6,Decorated apparel,Mixed,Cost-plus,When costs change,0.5382,True,False,False
NNEP-R0199,Crown Print & Stitch Studio,hello@crownprintstitchstudio.example,emh_c46b5021bb,Northeast,Solo owner/operator,1,Under $50k,6,1,Decorated apparel,Mostly consumers,Stitch-count based,Rarely/never,0.02,True,True,True
NNEP-R0200,Heritage Print & Stitch LLC,contact@heritageprintstitchllc.example,emh_4d2bd3e1dc,Midwest,Solo owner/operator,1,Under $50k,0,2,Team/school spiritwear,Corporate/commercial,Informal/custom quote,Before every quote,0.3829,True,False,False
NNEP-R0201,Cedar Logo Shop Studio,contact@cedarlogoshopstudio.example,emh_49d706176e,West,2-5 employees,5,Under $50k,0,3,Promotional products,Small business/local orgs,Hourly rate,When costs change,0.5856,True,False,False
NNEP-R0202,Lakeside Print & Stitch Studio,quotes@lakesideprintstitchstu.example,emh_9887955414,South,2-5 employees,3,Under $50k,0,3,Contract embroidery,Mostly consumers,Hourly rate,Rarely/never,0.2416,True,False,False
NNEP-R0203,Willow Studio LLC,owner@willowstudiollc.example,emh_c62cc5775f,South,6-10 employees,7,Under $50k,24,8,Promotional products,Mostly consumers,Hourly rate,When costs change,0.7109,True,False,False
NNEP-R0204,Urban Needleworks Shop,office@urbanneedleworksshop.example,emh_706c7e385d,Midwest,2-5 employees,2,Under $50k,12,1,Team/school spiritwear,Mostly consumers,Hybrid/job costing,When costs change,0.474,True,False,False
NNEP-R0205,River Studio,quotes@riverstudio.example,emh_fcabe9a739,South,2-5 employees,4,$250k-$500k,29,3,Custom embroidery,Corporate/commercial,Hybrid/job costing,Annually,0.5786,True,False,False
NNEP-R0206,Blue Ridge Monograms Company,owner@blueridgemonogramscomp.example,emh_87aa2233eb,South,2-5 employees,4,Under $50k,4,1,Mixed services,Contract/B2B,Stitch-count based,When costs change,0.2902,True,False,False
NNEP-R0207,Main Street Logo Shop Collective,quotes@mainstreetlogoshopcoll.example,emh_c43069bea7,South,Solo owner/operator,1,$100k-$250k,1,2,Custom embroidery,Mostly consumers,Stitch-count based,Rarely/never,0.02,True,False,False
NNEP-R0208,Urban Decorated Goods Company,quotes@urbandecoratedgoodscom.example,emh_ec1f73436f,Midwest,2-5 employees,5,$500k-$1M,1,2,Mixed services,Mostly consumers,Informal/custom quote,Before every quote,0.442,True,False,False
NNEP-R0209,Lucky Decorated Goods Collective,sales@luckydecoratedgoodscol.example,emh_c3aec55af8,Canada/Other,Solo owner/operator,1,Under $50k,4,3,Custom embroidery,Mostly consumers,Informal/custom quote,When costs change,0.02,True,False,False
NNEP-R0210,Iron Creative Group,quotes@ironcreativegroup.example,emh_86ffc7e8a1,West,Solo owner/operator,1,$100k-$250k,1,3,Mixed services,Small business/local orgs,Stitch-count based,Rarely/never,0.2741,True,False,False
NNEP-R0211,Oak Stitch Co. Company,info1@oakstitchcocompany.example,emh_f02ba2f087,West,2-5 employees,4,$250k-$500k,1,2,Custom embroidery,Mixed,Hourly rate,Before every quote,0.6996,True,True,True
NNEP-R0212,Hoop Designs Company,owner2@hoopdesignscompany.example,emh_bd002e9186,Northeast,26+ employees,69,$500k-$1M,2,15,Mixed services,Corporate/commercial,Hybrid/job costing,Annually,0.99,True,True,True
NNEP-R0213,Maple Wearables Collective,owner3@maplewearablescollecti.example,emh_af72ccff82,South,2-5 employees,2,$100k-$250k,0,6,Mixed services,Mixed,Stitch-count based,Quarterly,0.6859,True,False,False
NNEP-R0214,Cedar Branding,sales@cedarbranding.example,emh_e9e1d3bd1a,South,2-5 employees,3,$50k-$100k,2,4,Custom embroidery,Mixed,Stitch-count based,Rarely/never,0.2544,True,False,False
NNEP-R0215,Cedar Threads Company,sales@cedarthreadscompany.example,emh_5537fe8024,West,2-5 employees,2,$1M+,14,3,Decorated apparel,Mixed,Competitor-based,Quarterly,0.6926,True,False,False
NNEP-R0216,Sunrise Customs Company,hello@sunrisecustomscompany.example,emh_916118adb7,Midwest,Solo owner/operator,1,$50k-$100k,33,3,Custom embroidery,Schools/teams,Hourly rate,Rarely/never,0.4165,True,False,False
NNEP-R0217,Needle Logo Shop Company,office@needlelogoshopcompany.example,emh_fd3512f45b,Northeast,Solo owner/operator,1,$50k-$100k,3,1,Contract embroidery,Mixed,Informal/custom quote,Rarely/never,0.2215,True,False,False
NNEP-R0218,Prairie Digitizing Company,hello@prairiedigitizingcompa.example,emh_30841de1f6,West,2-5 employees,4,$50k-$100k,0,6,Custom embroidery,Corporate/commercial,Hybrid/job costing,Annually,0.2585,False,True,False
NNEP-R0219,Silver Decorated Goods Collective,info@silverdecoratedgoodsco.example,emh_27d5dd2263,Northeast,Solo owner/operator,1,Under $50k,5,1,Decorated apparel,Corporate/commercial,Cost-plus,Annually,0.6866,True,False,False
NNEP-R0220,Crown Branding Group,owner@crownbrandinggroup.example,emh_7e84cab582,Northeast,26+ employees,61,$500k-$1M,19,12,Decorated apparel,Corporate/commercial,Hybrid/job costing,Annually,0.9508,True,True,True
NNEP-R0221,Needle Teamwear Collective,office4@needleteamwearcollecti.example,emh_d83529850d,South,2-5 employees,3,$50k-$100k,18,3,Decorated apparel,Mixed,Informal/custom quote,Rarely/never,0.1045,True,False,False
NNEP-R0222,Blue Ridge Apparel LLC,contact@blueridgeapparelllc.example,emh_80d38d4f07,South,26+ employees,71,$1M+,15,10,Team/school spiritwear,Small business/local orgs,Informal/custom quote,When costs change,0.4431,True,False,False
NNEP-R0223,Cedar Monograms,owner@cedarmonograms.example,emh_4c55ad39d4,South,Solo owner/operator,1,Under $50k,11,1,Contract embroidery,Small business/local orgs,Competitor-based,Rarely/never,0.0709,True,False,False
NNEP-R0224,Sunrise Wearables LLC,sales@sunrisewearablesllc.example,emh_6fe3c4be00,West,Solo owner/operator,1,$100k-$250k,12,2,Promotional products,Small business/local orgs,Cost-plus,Rarely/never,0.3851,True,False,False
NNEP-R0225,Silver Designs,quotes@silverdesigns.example,emh_475b2cf724,Canada/Other,Solo owner/operator,1,$100k-$250k,14,1,Decorated apparel,Schools/teams,Stitch-count based,Quarterly,0.5895,True,False,False
NNEP-R0226,River Print & Stitch Studio,contact@riverprintstitchstudio.example,emh_ee69b5bfe7,West,2-5 employees,5,$50k-$100k,1,5,Team/school spiritwear,Contract/B2B,Informal/custom quote,Annually,0.2285,True,False,False
NNEP-R0227,Prairie Customs Studio,info@prairiecustomsstudio.example,emh_abe64b38ce,Midwest,Solo owner/operator,1,$100k-$250k,0,1,Mixed services,Mixed,Competitor-based,Rarely/never,0.02,True,False,False
NNEP-R0228,River Threads Collective,owner@riverthreadscollective.example,emh_73b8dd5ea0,Midwest,Solo owner/operator,1,$250k-$500k,7,1,Contract embroidery,Small business/local orgs,Stitch-count based,Annually,0.5618,True,True,True
NNEP-R0229,Golden Teamwear LLC,owner@goldenteamwearllc.example,emh_1f74b7f60c,South,6-10 employees,9,$500k-$1M,13,5,Mixed services,Mostly consumers,Stitch-count based,When costs change,0.5159,True,False,False
NNEP-R0230,Golden Wearables Studio,quotes6@goldenwearablesstudio.example,emh_27809668a8,South,2-5 employees,5,$250k-$500k,18,2,Decorated apparel,Schools/teams,Cost-plus,When costs change,0.7589,True,False,False
NNEP-R0231,River Digitizing LLC,hello@riverdigitizingllc.example,emh_ade84d3fd4,Northeast,26+ employees,70,$250k-$500k,15,10,Decorated apparel,Mostly consumers,Hourly rate,Quarterly,0.99,True,True,True
NNEP-R0232,Golden Apparel LLC,info1@goldenapparelllc.example,emh_9462e303ec,Canada/Other,2-5 employees,4,$50k-$100k,0,1,Custom embroidery,Mixed,Competitor-based,When costs change,0.4183,True,False,False
NNEP-R0233,Bright Wearables Collective,owner@brightwearablescollect.example,emh_2071cbf23b,Midwest,2-5 employees,5,$50k-$100k,2,1,Promotional products,Small business/local orgs,Hybrid/job costing,Rarely/never,0.1996,True,False,False
NNEP-R0234,Needle Monograms Shop,office@needlemonogramsshop.example,emh_e4b2f5bfe1,West,6-10 employees,10,$500k-$1M,18,4,Custom embroidery,Contract/B2B,Cost-plus,When costs change,0.6731,False,True,False
NNEP-R0235,Silver Branding Group,sales@silverbrandinggroup.example,emh_6bafa97276,South,Solo owner/operator,1,Under $50k,9,1,Custom embroidery,Mostly consumers,Informal/custom quote,Rarely/never,0.2918,True,False,False
NNEP-R0236,Maple Monograms Shop,info@maplemonogramsshop.example,emh_bdcfbe2ddb,South,26+ employees,32,$1M+,19,15,Team/school spiritwear,Contract/B2B,Informal/custom quote,Annually,0.603,True,False,False
NNEP-R0237,Hoop Teamwear Shop,contact@hoopteamwearshop.example,emh_311d507bf1,West,2-5 employees,5,$100k-$250k,0,3,Decorated apparel,Mostly consumers,Competitor-based,Annually,0.3725,True,False,False
NNEP-R0238,Summit Apparel LLC,owner0@summitapparelllc.example,emh_6f8f75a20a,South,2-5 employees,2,$100k-$250k,13,5,Decorated apparel,Mixed,Cost-plus,Rarely/never,0.3863,True,False,False
NNEP-R0239,Heritage Threads Studio,info@heritagethreadsstudio.example,emh_71cba22995,Midwest,Solo owner/operator,1,Under $50k,8,1,Custom embroidery,Contract/B2B,Informal/custom quote,Rarely/never,0.0908,True,False,False
NNEP-R0240,Lakeside Monograms Company,contact@lakesidemonogramscompa.example,emh_0bdaacf10d,South,11-25 employees,13,$1M+,24,15,Mixed services,Mostly consumers,Hybrid/job costing,When costs change,0.99,True,False,False
NNEP-R0241,Main Street Customs Group,owner@mainstreetcustomsgroup.example,emh_3e62802652,West,2-5 employees,3,$50k-$100k,13,3,Promotional products,Mostly consumers,Cost-plus,Annually,0.5666,True,False,False
NNEP-R0242,Red Barn Teamwear Group,hello4@redbarnteamweargroup.example,emh_2c8456c09b,South,6-10 employees,7,$500k-$1M,7,6,Custom embroidery,Contract/B2B,Hybrid/job costing,Annually,0.8241,True,False,False
NNEP-R0243,Blue Ridge Stitch Co.,quotes@blueridgestitchco.example,emh_2eea995725,Northeast,Solo owner/operator,1,$50k-$100k,2,2,Promotional products,Small business/local orgs,Value-based,When costs change,0.7117,True,False,False
NNEP-R0244,Blue Ridge Threads Company,quotes6@blueridgethreadscompan.example,emh_94ef1ffc60,West,2-5 employees,4,$100k-$250k,11,2,Custom embroidery,Mixed,Competitor-based,Rarely/never,0.1519,True,False,False
NNEP-R0245,Magnolia Customs Shop,hello0@magnoliacustomsshop.example,emh_f3514d7f65,Northeast,Solo owner/operator,1,Under $50k,1,1,Custom embroidery,Schools/teams,Informal/custom quote,Before every quote,0.2755,True,True,True
NNEP-R0246,Oak Monograms Shop,contact@oakmonogramsshop.example,emh_668a57b610,West,6-10 employees,8,$500k-$1M,13,5,Decorated apparel,Small business/local orgs,Hybrid/job costing,Annually,0.8642,True,False,False
NNEP-R0247,Stitch Logo Shop Shop,owner@stitchlogoshopshop.example,emh_2643cf5b17,South,2-5 employees,3,Under $50k,5,2,Decorated apparel,Mixed,Cost-plus,Annually,0.6188,True,False,False
NNEP-R0248,Maple Digitizing LLC,sales@mapledigitizingllc.example,emh_d03313f9b5,West,Solo owner/operator,1,$500k-$1M,27,3,Contract embroidery,Schools/teams,Hourly rate,Rarely/never,0.268,True,False,False
NNEP-R0249,Golden Monograms Group,office@goldenmonogramsgroup.example,emh_31cce7a49d,West,Solo owner/operator,1,Under $50k,12,2,Team/school spiritwear,Mixed,Competitor-based,Rarely/never,0.3288,True,False,False
