diagnostic_response_id,respondent_id,canonical_email,email_hash,source_row_id,submitted_at,business_name_clean,region,business_size,employee_count_band,annual_revenue_band,years_in_operation,years_in_operation_band,machine_count,primary_business_model,customer_mix,current_pricing_method,price_review_frequency,q1_score,q2_score,q3_score,q4_score,q5_score,q6_score,q7_score,q8_score,q9_score,q10_score,production_cost_score,real_labor_score,intended_profit_score,capacity_pressure_score,end_customer_value_score,diagnostic_total_score,pricing_maturity_tier,has_structured_pricing_system,labor_underpriced_flag,profit_target_missing_flag,capacity_pricing_gap_flag
PD-2026-0163,NNEP-R0163,hello@lakesidelogoshopcollec.example,emh_7613fe54fe,R_PD_000153,2026-02-16T21:12:13Z,Lakeside Logo Shop Collective,Midwest,2-5 employees,2-5 employees,$1M+,14,11-20,10,Decorated apparel,Small business/local orgs,Cost-plus,Before every quote,2,2,1,2,2,2,1,1,1,1,4,3,4,2,2,15,Partial Pricing System,True,False,False,False
PD-2026-0164,NNEP-R0164,hello@urbanteamwearshop.example,emh_c5bd293a39,R_PD_000154,2026-03-09T19:21:01Z,Urban Teamwear Shop,South,6-10 employees,6-10 employees,$500k-$1M,3,2-5,5,Custom embroidery,Mixed,Competitor-based,Quarterly,1,1,0,1,1,1,1,1,1,0,2,1,2,2,1,8,Partial Pricing System,False,True,False,False
PD-2026-0165,NNEP-R0165,quotes@mainstreetdecoratedgoo.example,emh_347f531176,R_PD_000155,2026-04-22T16:10:34Z,Main Street Decorated Goods LLC,West,6-10 employees,6-10 employees,$1M+,11,11-20,6,Custom embroidery,Mostly consumers,Cost-plus,Quarterly,2,2,2,2,2,1,2,2,2,1,4,4,3,4,3,18,Strong Pricing System,True,False,False,False
PD-2026-0166,NNEP-R0166,hello5@ironcustomscompany.example,emh_829a62719c,R_PD_000156,2026-05-10T17:08:35Z,Iron Customs Company,Midwest,Solo owner/operator,Solo owner/operator,Under $50k,6,6-10,2,Mixed services,Mostly consumers,Hybrid/job costing,When costs change,2,2,2,1,2,1,1,0,2,1,4,3,3,1,3,14,Partial Pricing System,True,False,False,True
PD-2026-0167,NNEP-R0167,sales@redbarnteamweargroup.example,emh_b9de6841b6,R_PD_000157,2026-02-24T14:19:35Z,Red Barn Teamwear Group,Northeast,2-5 employees,2-5 employees,$250k-$500k,19,11-20,3,Mixed services,Schools/teams,Competitor-based,When costs change,1,1,0,1,0,0,1,1,1,0,2,1,0,2,1,6,Pricing Blind Spots,False,True,True,False
PD-2026-0168,NNEP-R0168,owner@brightcustomscollectiv.example,emh_041937ff3b,R_PD_000158,2026-03-13T11:25:02Z,Bright Customs Collective,Midwest,2-5 employees,2-5 employees,Under $50k,9,6-10,2,Team/school spiritwear,Corporate/commercial,Hybrid/job costing,When costs change,1,1,0,1,1,2,1,1,1,1,2,1,3,2,2,10,Partial Pricing System,True,True,False,False
PD-2026-0170,NNEP-R0170,sales2@blueridgedecoratedgood.example,emh_80336f34c8,R_PD_000159,2026-06-06T19:51:09Z,Blue Ridge Decorated Goods Collective,South,2-5 employees,2-5 employees,$1M+,15,11-20,8,Mixed services,Contract/B2B,Hourly rate,Quarterly,2,2,2,2,2,1,1,2,2,2,4,4,3,3,4,18,Strong Pricing System,True,False,False,False
PD-2026-0171,NNEP-R0171,sales@luckyprintstitchshop.example,emh_9b600f4ca6,R_PD_000160,2026-03-29T03:12:17Z,Lucky Print & Stitch Shop,Midwest,Solo owner/operator,Solo owner/operator,Under $50k,11,11-20,4,Custom embroidery,Mostly consumers,Competitor-based,Rarely/never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pricing Blind Spots,False,True,True,True
PD-2026-0172,NNEP-R0172,owner@maplethreadsshop.example,emh_c4dc1f1e24,R_PD_000161,2026-04-15T18:12:01Z,Maple Threads Shop,South,11-25 employees,11-25 employees,$250k-$500k,13,11-20,5,Promotional products,Mixed,Hybrid/job costing,Annually,2,2,2,2,2,1,2,1,2,2,4,4,3,3,4,18,Strong Pricing System,True,False,False,False
PD-2026-0173,NNEP-R0173,contact@crownstitchcocompany.example,emh_959c6afda3,R_PD_000162,2026-02-12T15:26:53Z,Crown Stitch Co. Company,South,6-10 employees,6-10 employees,$1M+,18,11-20,6,Promotional products,Small business/local orgs,Hourly rate,Quarterly,1,2,2,2,1,1,1,1,1,1,3,4,2,2,2,13,Partial Pricing System,False,False,False,False
PD-2026-0174,NNEP-R0174,office@heritageneedleworkscom.example,emh_f30e7a697a,R_PD_000163,2026-02-04T21:29:35Z,Heritage Needleworks Company,Midwest,Solo owner/operator,Solo owner/operator,$500k-$1M,0,<2,2,Custom embroidery,Small business/local orgs,Competitor-based,Rarely/never,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,2,Pricing Blind Spots,False,True,True,True
PD-2026-0175,NNEP-R0175,contact@sunriseprintstitchstud.example,emh_0478d860e9,R_PD_000164,2026-03-21T12:37:58Z,Sunrise Print & Stitch Studio,Canada/Other,6-10 employees,6-10 employees,$250k-$500k,18,11-20,5,Mixed services,Mixed,Hybrid/job costing,Before every quote,2,2,2,2,2,2,2,1,2,2,4,4,4,3,4,19,Strong Pricing System,True,False,False,False
PD-2026-0176,NNEP-R0176,hello@lakesideapparelcollect.example,emh_c6ca8b0dc5,R_PD_000165,2026-03-02T22:12:28Z,Lakeside Apparel Collective,Northeast,2-5 employees,2-5 employees,$50k-$100k,20,11-20,2,Promotional products,Mixed,Stitch-count based,Annually,2,2,1,1,0,1,1,1,1,1,4,2,1,2,2,11,Partial Pricing System,False,False,True,False
PD-2026-0177,NNEP-R0177,owner@lakesidecustomsgroup.example,emh_75046ac9d8,R_PD_000166,2026-04-05T16:46:58Z,Lakeside Customs Group,West,Solo owner/operator,Solo owner/operator,$250k-$500k,0,<2,1,Mixed services,Corporate/commercial,Informal/custom quote,When costs change,1,1,1,1,0,1,1,0,1,1,2,2,1,1,2,8,Partial Pricing System,False,False,True,True
PD-2026-0178,NNEP-R0178,contact3@blueridgebrandingcompa.example,emh_d004ea4bed,R_PD_000167,2026-03-02T07:20:22Z,Blue Ridge Branding Company,South,2-5 employees,2-5 employees,$500k-$1M,2,2-5,3,Team/school spiritwear,Contract/B2B,Competitor-based,Annually,1,1,1,1,1,0,0,1,1,1,2,2,1,1,2,8,Partial Pricing System,False,False,True,True
PD-2026-0179,NNEP-R0179,office@mainstreetapparelcompa.example,emh_8cd5cae555,R_PD_000168,2026-04-05T10:56:32Z,Main Street Apparel Company,South,2-5 employees,2-5 employees,$50k-$100k,11,11-20,2,Custom embroidery,Mostly consumers,Competitor-based,When costs change,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Pricing Blind Spots,False,True,True,True
PD-2026-0180,NNEP-R0180,contact5@bobbinworks.example,emh_1cf12e2439,R_PD_000169,2026-03-08T23:52:35Z,Bobbin Works,Canada/Other,2-5 employees,2-5 employees,$100k-$250k,13,11-20,3,Mixed services,Corporate/commercial,Stitch-count based,Annually,1,2,1,1,1,1,1,1,1,1,3,2,2,2,2,11,Partial Pricing System,False,False,False,False
PD-2026-0182,NNEP-R0182,owner@threaddecoratedgoodsgr.example,emh_d0c2c1593e,R_PD_000170,2026-03-02T00:34:07Z,Thread Decorated Goods Group,Northeast,Solo owner/operator,Solo owner/operator,$50k-$100k,17,11-20,2,Custom embroidery,Mostly consumers,Hybrid/job costing,When costs change,2,2,2,2,0,2,0,1,2,1,4,4,2,1,3,14,Partial Pricing System,True,False,False,True
PD-2026-0183,NNEP-R0183,office@sunriseembroiderystudi.example,emh_207ca2886b,R_PD_000171,2026-02-06T00:57:55Z,Sunrise Embroidery Studio,West,2-5 employees,2-5 employees,$250k-$500k,0,<2,4,Team/school spiritwear,Corporate/commercial,Cost-plus,Before every quote,2,1,2,1,1,1,1,1,1,1,3,3,2,2,2,12,Partial Pricing System,True,False,False,False
PD-2026-0185,NNEP-R0185,owner3@willowteamwear.example,emh_13ccc01850,R_PD_000172,2026-04-24T18:30:31Z,Willow Teamwear,West,2-5 employees,2-5 employees,$100k-$250k,1,<2,2,Custom embroidery,Small business/local orgs,Stitch-count based,When costs change,1,1,1,1,1,0,1,1,1,1,2,2,1,2,2,9,Partial Pricing System,False,False,True,False
PD-2026-0186,NNEP-R0186,quotes@threadwearablesshop.example,emh_5d7f74c626,R_PD_000173,2026-04-16T08:38:37Z,Thread Wearables Shop,West,2-5 employees,2-5 employees,Under $50k,2,2-5,2,Custom embroidery,Contract/B2B,Stitch-count based,When costs change,0,1,1,0,0,0,0,0,1,1,1,1,0,0,2,4,Pricing Blind Spots,False,True,True,True
PD-2026-0187,NNEP-R0187,quotes5@riverneedleworkscompan.example,emh_d775743077,R_PD_000174,2026-04-27T16:55:01Z,River Needleworks Company,Northeast,2-5 employees,2-5 employees,$250k-$500k,4,2-5,4,Custom embroidery,Mixed,Value-based,Rarely/never,1,1,1,1,0,1,0,1,1,1,2,2,1,1,2,8,Partial Pricing System,True,False,True,True
PD-2026-0188,NNEP-R0188,sales@heritagedecoratedgoods.example,emh_aaaf9d63b5,R_PD_000175,2026-05-16T09:59:27Z,Heritage Decorated Goods Studio,Midwest,Solo owner/operator,Solo owner/operator,$50k-$100k,10,6-10,1,Promotional products,Corporate/commercial,Hybrid/job costing,Annually,2,1,1,1,1,1,1,1,0,1,3,2,2,2,1,10,Partial Pricing System,True,False,False,False
PD-2026-0190,NNEP-R0190,quotes@northstarapparelgroup.example,emh_d31d5b9c31,R_PD_000176,2026-04-11T21:24:39Z,North Star Apparel Group,Northeast,2-5 employees,2-5 employees,$250k-$500k,24,21+,5,Custom embroidery,Mostly consumers,Stitch-count based,When costs change,1,1,0,0,1,1,1,1,1,1,2,0,2,2,2,8,Partial Pricing System,False,True,False,False
PD-2026-0191,NNEP-R0191,owner2@maplestudiocollective.example,emh_fa69f8ff92,R_PD_000177,2026-04-21T19:12:02Z,Maple Studio Collective,West,2-5 employees,2-5 employees,$1M+,10,6-10,3,Promotional products,Mostly consumers,Informal/custom quote,Annually,0,1,1,1,1,0,1,1,1,1,1,2,1,2,2,8,Partial Pricing System,False,False,True,False
PD-2026-0192,NNEP-R0192,hello@heritagestitchco.example,emh_fc9defc0db,R_PD_000178,2026-02-08T08:23:08Z,Heritage Stitch Co.,South,2-5 employees,2-5 employees,$50k-$100k,8,6-10,2,Decorated apparel,Mixed,Hybrid/job costing,Annually,2,2,2,2,1,2,1,2,2,2,4,4,3,3,4,18,Strong Pricing System,True,False,False,False
PD-2026-0193,NNEP-R0193,sales@blueridgethreadsshop.example,emh_008f6aeaf6,R_PD_000179,2026-02-16T07:42:33Z,Blue Ridge Threads Shop,Northeast,11-25 employees,11-25 employees,$500k-$1M,18,11-20,10,Custom embroidery,Mixed,Informal/custom quote,Annually,2,2,2,1,2,1,1,1,2,1,4,3,3,2,3,15,Partial Pricing System,False,False,False,False
PD-2026-0194,NNEP-R0194,contact@needlebrandingstudio.example,emh_630796332b,R_PD_000180,2026-05-03T02:43:26Z,Needle Branding Studio,Midwest,2-5 employees,2-5 employees,$500k-$1M,31,21+,2,Custom embroidery,Contract/B2B,Stitch-count based,Before every quote,2,2,2,1,1,2,1,1,1,1,4,3,3,2,2,14,Partial Pricing System,False,False,False,False
PD-2026-0195,NNEP-R0195,owner@brightstitchco.example,emh_9a8613dddf,R_PD_000181,2026-02-15T20:17:22Z,Bright Stitch Co.,South,2-5 employees,2-5 employees,$100k-$250k,16,11-20,4,Decorated apparel,Small business/local orgs,Cost-plus,Rarely/never,2,1,1,1,1,1,0,1,1,1,3,2,2,1,2,10,Partial Pricing System,True,False,False,True
PD-2026-0196,NNEP-R0196,office@pineworksstudio.example,emh_b37eea5a9b,R_PD_000182,2026-03-24T10:31:53Z,Pine Works Studio,Canada/Other,2-5 employees,2-5 employees,$250k-$500k,14,11-20,3,Custom embroidery,Corporate/commercial,Cost-plus,Quarterly,2,2,2,2,2,2,2,2,1,1,4,4,4,4,2,18,Strong Pricing System,True,False,False,False
PD-2026-0197,NNEP-R0197,info@summitlogoshopstudio.example,emh_015342e155,R_PD_000183,2026-02-28T11:44:59Z,Summit Logo Shop Studio,Midwest,Solo owner/operator,Solo owner/operator,Under $50k,3,2-5,1,Promotional products,Mixed,Informal/custom quote,When costs change,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Pricing Blind Spots,False,True,True,True
PD-2026-0198,NNEP-R0198,contact2@lakesideapparelllc.example,emh_4fe9b73f6f,R_PD_000184,2026-03-16T10:24:08Z,Lakeside Apparel LLC,West,11-25 employees,11-25 employees,$1M+,11,11-20,6,Decorated apparel,Mixed,Cost-plus,When costs change,1,1,1,1,0,1,1,1,0,1,2,2,1,2,1,8,Partial Pricing System,True,False,True,False
PD-2026-0199,NNEP-R0199,hello@crownprintstitchstudio.example,emh_c46b5021bb,R_PD_000185,2026-03-25T17:42:30Z,Crown Print & Stitch Studio,Northeast,Solo owner/operator,Solo owner/operator,Under $50k,6,6-10,1,Decorated apparel,Mostly consumers,Stitch-count based,Rarely/never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pricing Blind Spots,False,True,True,True
PD-2026-0200,NNEP-R0200,contact@heritageprintstitchllc.example,emh_4d2bd3e1dc,R_PD_000186,2026-05-22T00:07:32Z,Heritage Print & Stitch LLC,Midwest,Solo owner/operator,Solo owner/operator,Under $50k,0,<2,2,Team/school spiritwear,Corporate/commercial,Informal/custom quote,Before every quote,0,1,1,1,0,1,0,0,0,1,1,2,1,0,1,5,Pricing Blind Spots,False,False,True,True
PD-2026-0201,NNEP-R0201,contact@cedarlogoshopstudio.example,emh_49d706176e,R_PD_000187,2026-05-26T00:35:29Z,Cedar Logo Shop Studio,West,2-5 employees,2-5 employees,Under $50k,0,<2,3,Promotional products,Small business/local orgs,Hourly rate,When costs change,2,2,1,1,0,0,1,1,0,1,4,2,0,2,1,9,Partial Pricing System,False,False,True,False
PD-2026-0202,NNEP-R0202,quotes@lakesideprintstitchstu.example,emh_9887955414,R_PD_000188,2026-06-09T17:13:09Z,Lakeside Print & Stitch Studio,South,2-5 employees,2-5 employees,Under $50k,0,<2,3,Contract embroidery,Mostly consumers,Hourly rate,Rarely/never,1,0,1,1,0,0,0,0,1,0,1,2,0,0,1,4,Pricing Blind Spots,False,False,True,True
PD-2026-0203,NNEP-R0203,owner@willowstudiollc.example,emh_c62cc5775f,R_PD_000189,2026-03-31T18:33:15Z,Willow Studio LLC,South,6-10 employees,6-10 employees,Under $50k,24,21+,8,Promotional products,Mostly consumers,Hourly rate,When costs change,2,2,1,2,1,1,2,1,1,2,4,3,2,3,3,15,Partial Pricing System,False,False,False,False
PD-2026-0204,NNEP-R0204,office@urbanneedleworksshop.example,emh_706c7e385d,R_PD_000190,2026-04-12T21:52:21Z,Urban Needleworks Shop,Midwest,2-5 employees,2-5 employees,Under $50k,12,11-20,1,Team/school spiritwear,Mostly consumers,Hybrid/job costing,When costs change,1,1,2,1,1,1,0,0,1,0,2,3,2,0,1,8,Partial Pricing System,True,False,False,True
PD-2026-0205,NNEP-R0205,quotes@riverstudio.example,emh_fcabe9a739,R_PD_000191,2026-03-17T09:04:11Z,River Studio,South,2-5 employees,2-5 employees,$250k-$500k,29,21+,3,Custom embroidery,Corporate/commercial,Hybrid/job costing,Annually,1,2,1,2,2,1,1,1,1,1,3,3,3,2,2,13,Partial Pricing System,True,False,False,False
PD-2026-0206,NNEP-R0206,owner@blueridgemonogramscomp.example,emh_87aa2233eb,R_PD_000192,2026-03-12T12:47:30Z,Blue Ridge Monograms Company,South,2-5 employees,2-5 employees,Under $50k,4,2-5,1,Mixed services,Contract/B2B,Stitch-count based,When costs change,1,1,1,1,1,0,0,0,0,0,2,2,1,0,0,5,Pricing Blind Spots,False,False,True,True
PD-2026-0207,NNEP-R0207,quotes@mainstreetlogoshopcoll.example,emh_c43069bea7,R_PD_000193,2026-03-28T07:28:37Z,Main Street Logo Shop Collective,South,Solo owner/operator,Solo owner/operator,$100k-$250k,1,<2,2,Custom embroidery,Mostly consumers,Stitch-count based,Rarely/never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pricing Blind Spots,False,True,True,True
PD-2026-0208,NNEP-R0208,quotes@urbandecoratedgoodscom.example,emh_ec1f73436f,R_PD_000194,2026-02-14T13:43:55Z,Urban Decorated Goods Company,Midwest,2-5 employees,2-5 employees,$500k-$1M,1,<2,2,Mixed services,Mostly consumers,Informal/custom quote,Before every quote,1,1,1,1,1,1,0,1,1,0,2,2,2,1,1,8,Partial Pricing System,False,False,False,True
PD-2026-0209,NNEP-R0209,sales@luckydecoratedgoodscol.example,emh_c3aec55af8,R_PD_000195,2026-05-09T22:19:14Z,Lucky Decorated Goods Collective,Canada/Other,Solo owner/operator,Solo owner/operator,Under $50k,4,2-5,3,Custom embroidery,Mostly consumers,Informal/custom quote,When costs change,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,Pricing Blind Spots,False,True,True,True
PD-2026-0210,NNEP-R0210,quotes@ironcreativegroup.example,emh_86ffc7e8a1,R_PD_000196,2026-05-11T02:12:19Z,Iron Creative Group,West,Solo owner/operator,Solo owner/operator,$100k-$250k,1,<2,3,Mixed services,Small business/local orgs,Stitch-count based,Rarely/never,1,1,0,0,0,0,0,0,1,0,2,0,0,0,1,3,Pricing Blind Spots,False,True,True,True
PD-2026-0211,NNEP-R0211,info1@oakstitchcocompany.example,emh_f02ba2f087,R_PD_000197,2026-02-02T02:50:00Z,Oak Stitch Co. Company,West,2-5 employees,2-5 employees,$250k-$500k,1,<2,2,Custom embroidery,Mixed,Hourly rate,Before every quote,1,2,2,1,1,1,1,2,2,1,3,3,2,3,3,14,Partial Pricing System,False,False,False,False
PD-2026-0212,NNEP-R0212,owner2@hoopdesignscompany.example,emh_bd002e9186,R_PD_000198,2026-05-25T04:34:56Z,Hoop Designs Company,Northeast,26+ employees,26+ employees,$500k-$1M,2,2-5,15,Mixed services,Corporate/commercial,Hybrid/job costing,Annually,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,20,Strong Pricing System,True,False,False,False
PD-2026-0213,NNEP-R0213,owner3@maplewearablescollecti.example,emh_af72ccff82,R_PD_000199,2026-05-17T09:20:34Z,Maple Wearables Collective,South,2-5 employees,2-5 employees,$100k-$250k,0,<2,6,Mixed services,Mixed,Stitch-count based,Quarterly,2,2,2,1,1,2,1,1,1,1,4,3,3,2,2,14,Partial Pricing System,False,False,False,False
PD-2026-0214,NNEP-R0214,sales@cedarbranding.example,emh_e9e1d3bd1a,R_PD_000200,2026-05-05T06:26:26Z,Cedar Branding,South,2-5 employees,2-5 employees,$50k-$100k,2,2-5,4,Custom embroidery,Mixed,Stitch-count based,Rarely/never,2,1,0,0,0,0,0,0,0,1,3,0,0,0,1,4,Pricing Blind Spots,False,True,True,True
PD-2026-0215,NNEP-R0215,sales@cedarthreadscompany.example,emh_5537fe8024,R_PD_000201,2026-03-30T09:25:56Z,Cedar Threads Company,West,2-5 employees,2-5 employees,$1M+,14,11-20,3,Decorated apparel,Mixed,Competitor-based,Quarterly,2,2,2,2,1,1,1,1,1,1,4,4,2,2,2,14,Partial Pricing System,False,False,False,False
PD-2026-0216,NNEP-R0216,hello@sunrisecustomscompany.example,emh_916118adb7,R_PD_000202,2026-05-19T00:54:40Z,Sunrise Customs Company,Midwest,Solo owner/operator,Solo owner/operator,$50k-$100k,33,21+,3,Custom embroidery,Schools/teams,Hourly rate,Rarely/never,1,1,1,1,1,1,1,0,0,1,2,2,2,1,1,8,Partial Pricing System,False,False,False,True
PD-2026-0217,NNEP-R0217,office@needlelogoshopcompany.example,emh_fd3512f45b,R_PD_000203,2026-02-18T01:38:17Z,Needle Logo Shop Company,Northeast,Solo owner/operator,Solo owner/operator,$50k-$100k,3,2-5,1,Contract embroidery,Mixed,Informal/custom quote,Rarely/never,1,1,1,0,0,0,0,0,1,0,2,1,0,0,1,4,Pricing Blind Spots,False,True,True,True
PD-2026-0219,NNEP-R0219,info@silverdecoratedgoodsco.example,emh_27d5dd2263,R_PD_000204,2026-03-24T11:14:46Z,Silver Decorated Goods Collective,Northeast,Solo owner/operator,Solo owner/operator,Under $50k,5,2-5,1,Decorated apparel,Corporate/commercial,Cost-plus,Annually,2,2,1,2,1,1,1,0,1,2,4,3,2,1,3,13,Partial Pricing System,True,False,False,True
PD-2026-0220,NNEP-R0220,owner@crownbrandinggroup.example,emh_7e84cab582,R_PD_000205,2026-05-22T13:24:14Z,Crown Branding Group,Northeast,26+ employees,26+ employees,$500k-$1M,19,11-20,12,Decorated apparel,Corporate/commercial,Hybrid/job costing,Annually,2,1,1,2,2,2,2,2,2,2,3,3,4,4,4,18,Strong Pricing System,True,False,False,False
PD-2026-0221,NNEP-R0221,office4@needleteamwearcollecti.example,emh_d83529850d,R_PD_000206,2026-02-06T10:34:01Z,Needle Teamwear Collective,South,2-5 employees,2-5 employees,$50k-$100k,18,11-20,3,Decorated apparel,Mixed,Informal/custom quote,Rarely/never,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Pricing Blind Spots,False,True,True,True
PD-2026-0222,NNEP-R0222,contact@blueridgeapparelllc.example,emh_80d38d4f07,R_PD_000207,2026-05-12T13:29:16Z,Blue Ridge Apparel LLC,South,26+ employees,26+ employees,$1M+,15,11-20,10,Team/school spiritwear,Small business/local orgs,Informal/custom quote,When costs change,1,1,1,1,1,1,0,0,1,1,2,2,2,0,2,8,Partial Pricing System,False,False,False,True
PD-2026-0223,NNEP-R0223,owner@cedarmonograms.example,emh_4c55ad39d4,R_PD_000208,2026-04-16T23:58:30Z,Cedar Monograms,South,Solo owner/operator,Solo owner/operator,Under $50k,11,11-20,1,Contract embroidery,Small business/local orgs,Competitor-based,Rarely/never,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Pricing Blind Spots,False,True,True,True
PD-2026-0224,NNEP-R0224,sales@sunrisewearablesllc.example,emh_6fe3c4be00,R_PD_000209,2026-05-26T20:37:26Z,Sunrise Wearables LLC,West,Solo owner/operator,Solo owner/operator,$100k-$250k,12,11-20,2,Promotional products,Small business/local orgs,Cost-plus,Rarely/never,1,1,0,1,0,1,1,0,0,0,2,1,1,1,0,5,Pricing Blind Spots,True,True,True,True
PD-2026-0225,NNEP-R0225,quotes@silverdesigns.example,emh_475b2cf724,R_PD_000210,2026-06-09T13:17:59Z,Silver Designs,Canada/Other,Solo owner/operator,Solo owner/operator,$100k-$250k,14,11-20,1,Decorated apparel,Schools/teams,Stitch-count based,Quarterly,1,2,1,1,1,1,1,1,1,1,3,2,2,2,2,11,Partial Pricing System,False,False,False,False
PD-2026-0226,NNEP-R0226,contact@riverprintstitchstudio.example,emh_ee69b5bfe7,R_PD_000211,2026-04-01T18:45:33Z,River Print & Stitch Studio,West,2-5 employees,2-5 employees,$50k-$100k,1,<2,5,Team/school spiritwear,Contract/B2B,Informal/custom quote,Annually,1,2,0,0,1,0,0,0,0,0,3,0,1,0,0,4,Pricing Blind Spots,False,True,True,True
PD-2026-0227,NNEP-R0227,info@prairiecustomsstudio.example,emh_abe64b38ce,R_PD_000212,2026-02-19T22:14:04Z,Prairie Customs Studio,Midwest,Solo owner/operator,Solo owner/operator,$100k-$250k,0,<2,1,Mixed services,Mixed,Competitor-based,Rarely/never,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,Pricing Blind Spots,False,True,True,True
PD-2026-0228,NNEP-R0228,owner@riverthreadscollective.example,emh_73b8dd5ea0,R_PD_000213,2026-03-20T21:50:57Z,River Threads Collective,Midwest,Solo owner/operator,Solo owner/operator,$250k-$500k,7,6-10,1,Contract embroidery,Small business/local orgs,Stitch-count based,Annually,1,1,1,2,1,1,1,1,1,1,2,3,2,2,2,11,Partial Pricing System,False,False,False,False
PD-2026-0229,NNEP-R0229,owner@goldenteamwearllc.example,emh_1f74b7f60c,R_PD_000214,2026-03-21T05:13:06Z,Golden Teamwear LLC,South,6-10 employees,6-10 employees,$500k-$1M,13,11-20,5,Mixed services,Mostly consumers,Stitch-count based,When costs change,1,2,1,1,1,0,1,1,1,1,3,2,1,2,2,10,Partial Pricing System,False,False,True,False
PD-2026-0230,NNEP-R0230,quotes6@goldenwearablesstudio.example,emh_27809668a8,R_PD_000215,2026-03-03T14:06:07Z,Golden Wearables Studio,South,2-5 employees,2-5 employees,$250k-$500k,18,11-20,2,Decorated apparel,Schools/teams,Cost-plus,When costs change,2,1,2,1,1,1,2,1,2,2,3,3,2,3,4,15,Partial Pricing System,True,False,False,False
PD-2026-0231,NNEP-R0231,hello@riverdigitizingllc.example,emh_ade84d3fd4,R_PD_000216,2026-02-05T23:28:14Z,River Digitizing LLC,Northeast,26+ employees,26+ employees,$250k-$500k,15,11-20,10,Decorated apparel,Mostly consumers,Hourly rate,Quarterly,1,2,2,2,2,2,2,1,2,2,3,4,4,3,4,18,Strong Pricing System,True,False,False,False
PD-2026-0232,NNEP-R0232,info1@goldenapparelllc.example,emh_9462e303ec,R_PD_000217,2026-03-16T10:12:40Z,Golden Apparel LLC,Canada/Other,2-5 employees,2-5 employees,$50k-$100k,0,<2,1,Custom embroidery,Mixed,Competitor-based,When costs change,2,1,1,1,1,1,1,0,1,0,3,2,2,1,1,9,Partial Pricing System,False,False,False,True
PD-2026-0233,NNEP-R0233,owner@brightwearablescollect.example,emh_2071cbf23b,R_PD_000218,2026-02-24T18:53:25Z,Bright Wearables Collective,Midwest,2-5 employees,2-5 employees,$50k-$100k,2,2-5,1,Promotional products,Small business/local orgs,Hybrid/job costing,Rarely/never,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,3,Pricing Blind Spots,True,True,True,True
PD-2026-0235,NNEP-R0235,sales@silverbrandinggroup.example,emh_6bafa97276,R_PD_000219,2026-04-16T09:08:36Z,Silver Branding Group,South,Solo owner/operator,Solo owner/operator,Under $50k,9,6-10,1,Custom embroidery,Mostly consumers,Informal/custom quote,Rarely/never,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,3,Pricing Blind Spots,False,True,True,True
PD-2026-0236,NNEP-R0236,info@maplemonogramsshop.example,emh_bdcfbe2ddb,R_PD_000220,2026-02-23T12:16:28Z,Maple Monograms Shop,South,26+ employees,26+ employees,$1M+,19,11-20,15,Team/school spiritwear,Contract/B2B,Informal/custom quote,Annually,1,2,2,1,1,1,1,1,2,1,3,3,2,2,3,13,Partial Pricing System,False,False,False,False
PD-2026-0237,NNEP-R0237,contact@hoopteamwearshop.example,emh_311d507bf1,R_PD_000221,2026-05-11T01:05:24Z,Hoop Teamwear Shop,West,2-5 employees,2-5 employees,$100k-$250k,0,<2,3,Decorated apparel,Mostly consumers,Competitor-based,Annually,1,1,0,1,0,1,1,0,1,0,2,1,1,1,1,6,Pricing Blind Spots,False,True,True,True
PD-2026-0238,NNEP-R0238,owner0@summitapparelllc.example,emh_6f8f75a20a,R_PD_000222,2026-02-19T23:55:14Z,Summit Apparel LLC,South,2-5 employees,2-5 employees,$100k-$250k,13,11-20,5,Decorated apparel,Mixed,Cost-plus,Rarely/never,1,0,1,1,1,1,1,0,1,1,1,2,2,1,2,8,Partial Pricing System,True,False,False,True
PD-2026-0239,NNEP-R0239,info@heritagethreadsstudio.example,emh_71cba22995,R_PD_000223,2026-05-26T01:57:31Z,Heritage Threads Studio,Midwest,Solo owner/operator,Solo owner/operator,Under $50k,8,6-10,1,Custom embroidery,Contract/B2B,Informal/custom quote,Rarely/never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pricing Blind Spots,False,True,True,True
