respondent_id,canonical_email,email_hash,business_name_clean,region,business_size,years_in_operation,machine_count,current_pricing_method,diagnostic_total_score,pricing_maturity_tier,lowest_driver,production_cost_score,real_labor_score,intended_profit_score,capacity_pressure_score,end_customer_value_score,confidence_score_1_5,pricing_confidence_level,confidence_alignment,charges_setup_fee,charges_rush_fee,uses_tiered_pricing,discounting_frequency,perceived_profitability,plans_price_increase_2026,overlap_join_quality,diagnostic_source_row_id,benchmark_source_row_id
NNEP-R0425,office5@stitchcreativecompany1.example,emh_e2f6215931,Stitch Creative Company #1425,West,11-25 employees,13,12,Value-based,18,Strong Pricing System,Capacity Pressure,4,4,4,3,3,4,Confident,Broadly aligned,False,True,False,Sometimes,Acceptable,False,exact_raw_email_match,R_PD_000392,R_BM_000119
NNEP-R0433,quotes@bobbincreativestudio14.example,emh_6c092b8208,Bobbin Creative Studio #1433,Midwest,Solo owner/operator,0,1,Informal/custom quote,0,Pricing Blind Spots,Production Cost,0,0,0,0,0,3,Somewhat confident,Broadly aligned,False,False,True,Rarely,Good,False,exact_raw_email_match,R_PD_000400,R_BM_000120
NNEP-R0442,office@sunrisecreativestudio1.example,emh_e5ca5eab24,Sunrise Creative Studio #1442,South,6-10 employees,10,2,Stitch-count based,8,Partial Pricing System,Intended Profit,2,2,1,1,2,2,Slightly confident,Broadly aligned,False,True,False,Never,Very strong,False,exact_raw_email_match,R_PD_000409,R_BM_000121
NNEP-R0443,contact@stitchapparelstudio144.example,emh_922bca7521,Stitch Apparel Studio #1443,Northeast,2-5 employees,1,3,Value-based,14,Partial Pricing System,Intended Profit,4,3,2,2,3,3,Somewhat confident,Broadly aligned,True,True,True,Sometimes,Struggling,True,exact_raw_email_match,R_PD_000410,R_BM_000122
NNEP-R0446,quotes5@northstarapparelstudio.example,emh_b99e5eee73,North Star Apparel Studio #1446,Midwest,11-25 employees,2,10,Informal/custom quote,10,Partial Pricing System,Production Cost,2,2,2,2,2,5,Very confident,Potentially overconfident,True,False,False,Rarely,Acceptable,False,exact_raw_email_match,R_PD_000413,R_BM_000123
NNEP-R0452,quotes@urbanapparelstudio1452.example,emh_8afb0e0ab9,Urban Apparel Studio #1452,Northeast,11-25 employees,1,10,Stitch-count based,12,Partial Pricing System,Real Labor,3,2,2,3,2,3,Somewhat confident,Broadly aligned,False,True,False,Frequently,Good,True,normalized_email_match,R_PD_000419,R_BM_000124
NNEP-R0453,owner@goldenthreadsstudio145.example,emh_97721efc8e,Golden Threads Studio #1453,South,26+ employees,18,15,Hybrid/job costing,18,Strong Pricing System,Real Labor,4,3,3,4,4,5,Very confident,Broadly aligned,False,True,True,Sometimes,Acceptable,True,exact_raw_email_match,R_PD_000420,R_BM_000125
NNEP-R0465,info@willowlogoshopllc1465.example,emh_539f2006d4,Willow Logo Shop LLC #1465,Midwest,2-5 employees,14,1,Hourly rate,10,Partial Pricing System,Production Cost,2,2,2,2,2,4,Confident,Broadly aligned,False,False,True,Rarely,Good,True,exact_raw_email_match,R_PD_000431,R_BM_000127
NNEP-R0470,owner@luckythreads1470.example,emh_aeed6d600f,Lucky Threads #1470,South,2-5 employees,2,6,Hybrid/job costing,12,Partial Pricing System,Production Cost,2,2,3,2,3,2,Slightly confident,Broadly aligned,True,True,True,Sometimes,Very strong,False,normalized_email_match,R_PD_000436,R_BM_000128
NNEP-R0473,info4@threadcustomsstudio147.example,emh_49e36bf563,Thread Customs Studio #1473,Midwest,2-5 employees,6,3,Cost-plus,10,Partial Pricing System,Production Cost,2,2,2,2,2,2,Slightly confident,Broadly aligned,True,True,True,Frequently,Good,True,exact_raw_email_match,R_PD_000439,R_BM_000129
NNEP-R0475,hello@prairiedigitizingstudi.example,emh_702d28ba65,Prairie Digitizing Studio #1475,West,2-5 employees,9,2,Stitch-count based,13,Partial Pricing System,Intended Profit,4,3,2,2,2,3,Somewhat confident,Broadly aligned,False,False,True,Sometimes,Good,False,exact_raw_email_match,R_PD_000441,R_BM_000130
NNEP-R0476,info@blueridgedecoratedgood.example,emh_d00fdbc5d7,Blue Ridge Decorated Goods Studio #1476,Northeast,2-5 employees,15,3,Value-based,18,Strong Pricing System,Production Cost,3,4,4,3,4,5,Very confident,Broadly aligned,True,True,True,Rarely,Acceptable,False,exact_raw_email_match,R_PD_000442,R_BM_000131
NNEP-R0479,sales@magnoliaworkscollectiv.example,emh_3fef479b3f,Magnolia Works Collective #1479,West,Solo owner/operator,21,2,Hourly rate,11,Partial Pricing System,Real Labor,3,2,2,2,2,4,Confident,Broadly aligned,False,True,True,Frequently,Good,True,exact_raw_email_match,R_PD_000445,R_BM_000132
NNEP-R0484,quotes@heritageteamweargroup1.example,emh_6cbb6be5a6,Heritage Teamwear Group #1484,South,Solo owner/operator,1,3,Hybrid/job costing,14,Partial Pricing System,Real Labor,4,2,3,2,3,4,Confident,Broadly aligned,False,False,True,Rarely,Good,True,exact_raw_email_match,R_PD_000449,R_BM_000134
NNEP-R0487,owner@oaklogoshopllc1487.example,emh_23116f948f,Oak Logo Shop LLC #1487,Northeast,11-25 employees,16,8,Competitor-based,14,Partial Pricing System,Real Labor,3,2,3,3,3,3,Somewhat confident,Broadly aligned,False,False,True,Frequently,Good,True,exact_raw_email_match,R_PD_000451,R_BM_000136
NNEP-R0489,owner6@oakdesigns1489.example,emh_6df32fb305,Oak Designs #1489,South,Solo owner/operator,14,1,Hybrid/job costing,13,Partial Pricing System,Real Labor,3,2,3,2,3,5,Very confident,Potentially overconfident,True,True,True,Rarely,Acceptable,True,exact_raw_email_match,R_PD_000453,R_BM_000137
NNEP-R0496,quotes@willowlogoshopcompany1.example,emh_eeb4c188cf,Willow Logo Shop Company #1496,Northeast,Solo owner/operator,27,4,Hybrid/job costing,18,Strong Pricing System,Intended Profit,4,4,3,3,4,5,Very confident,Broadly aligned,True,True,True,Rarely,Acceptable,False,normalized_email_match,R_PD_000460,R_BM_000138
NNEP-R0500,sales@brightembroidery1500.example,emh_244fa670ae,Bright Embroidery #1500,Northeast,6-10 employees,5,10,Hybrid/job costing,18,Strong Pricing System,Intended Profit,4,4,3,3,4,5,Very confident,Broadly aligned,False,False,True,Never,Variable,True,exact_raw_email_match,R_PD_000464,R_BM_000139
NNEP-R0507,quotes@northstardecoratedgood.example,emh_e418ac64c0,North Star Decorated Goods Shop #1507,Northeast,Solo owner/operator,16,1,Stitch-count based,9,Partial Pricing System,Capacity Pressure,2,2,2,1,2,1,Not confident,Broadly aligned,True,False,False,Sometimes,Variable,False,exact_raw_email_match,R_PD_000471,R_BM_000140
NNEP-R0521,hello3@heritagelogoshopcollec.example,emh_df4e46d0f5,Heritage Logo Shop Collective #1521,Northeast,Solo owner/operator,7,1,Cost-plus,11,Partial Pricing System,Real Labor,3,2,2,2,2,3,Somewhat confident,Broadly aligned,True,True,False,Never,Variable,True,exact_raw_email_match,R_PD_000485,R_BM_000141
NNEP-R0524,office6@urbancustomscompany152.example,emh_a72da62d05,Urban Customs Company #1524,South,26+ employees,26,10,Informal/custom quote,18,Strong Pricing System,Production Cost,3,4,3,4,4,3,Somewhat confident,Underconfident relative to diagnostic,True,True,False,Rarely,Acceptable,False,normalized_email_match,R_PD_000488,R_BM_000142
NNEP-R0533,owner@magnoliacreative1533.example,emh_b6d4bf1710,Magnolia Creative #1533,South,Solo owner/operator,8,1,Hybrid/job costing,8,Partial Pricing System,Capacity Pressure,2,2,2,1,1,3,Somewhat confident,Broadly aligned,False,False,False,Sometimes,Variable,False,exact_raw_email_match,R_PD_000496,R_BM_000144
NNEP-R0535,owner3@willowneedleworksshop1.example,emh_4232f7e622,Willow Needleworks Shop #1535,West,26+ employees,16,15,Hybrid/job costing,20,Strong Pricing System,Production Cost,4,4,4,4,4,4,Confident,Broadly aligned,True,True,False,Sometimes,Good,False,exact_raw_email_match,R_PD_000498,R_BM_000145
NNEP-R0537,contact@mainstreetdecoratedgoo.example,emh_f9ba10b267,Main Street Decorated Goods Shop #1537,South,Solo owner/operator,20,1,Cost-plus,14,Partial Pricing System,Capacity Pressure,3,3,3,2,3,4,Confident,Broadly aligned,False,False,True,Frequently,Variable,False,exact_raw_email_match,R_PD_000500,R_BM_000146
NNEP-R0542,contact@redbarnthreads1542.example,emh_4266317016,Red Barn Threads #1542,Northeast,11-25 employees,2,8,Hourly rate,14,Partial Pricing System,Intended Profit,4,3,2,2,3,5,Very confident,Potentially overconfident,True,True,True,Never,Variable,False,normalized_email_match,R_PD_000505,R_BM_000147
NNEP-R0544,quotes@willowembroiderycompan.example,emh_545b2c0716,Willow Embroidery Company #1544,South,11-25 employees,20,8,Cost-plus,18,Strong Pricing System,Real Labor,4,3,4,3,4,5,Very confident,Broadly aligned,True,True,True,Frequently,Acceptable,True,exact_raw_email_match,R_PD_000507,R_BM_000148
NNEP-R0546,quotes@prairieapparel1546.example,emh_d70171e6f2,Prairie Apparel #1546,Midwest,2-5 employees,11,4,Hybrid/job costing,17,Strong Pricing System,Intended Profit,4,3,2,4,4,4,Confident,Broadly aligned,True,True,True,Sometimes,Very strong,False,normalized_email_match,R_PD_000509,R_BM_000149
NNEP-R0548,contact@riverlogoshopllc1548.example,emh_32bc4c35fe,River Logo Shop LLC #1548,South,Solo owner/operator,9,1,Cost-plus,3,Pricing Blind Spots,Real Labor,1,0,1,0,1,3,Somewhat confident,Broadly aligned,True,True,False,Frequently,Variable,True,exact_raw_email_match,R_PD_000511,R_BM_000150
NNEP-R0552,info6@crowndigitizingshop155.example,emh_2f1b29daff,Crown Digitizing Shop #1552,West,2-5 employees,0,2,Cost-plus,13,Partial Pricing System,Real Labor,3,2,3,2,3,4,Confident,Broadly aligned,True,True,False,Never,Variable,True,manual_review_suggested,R_PD_000515,R_BM_000151
NNEP-R0557,contact4@willowdigitizingstudio.example,emh_88441b6fdd,Willow Digitizing Studio #1557,South,2-5 employees,2,4,Informal/custom quote,5,Pricing Blind Spots,Intended Profit,2,2,0,0,1,3,Somewhat confident,Broadly aligned,False,False,True,Sometimes,Struggling,False,exact_raw_email_match,R_PD_000520,R_BM_000152
NNEP-R0559,info@summitdigitizing1559.example,emh_281e8d0d19,Summit Digitizing #1559,Midwest,2-5 employees,32,3,Informal/custom quote,4,Pricing Blind Spots,Intended Profit,1,1,0,1,1,2,Slightly confident,Broadly aligned,True,False,True,Sometimes,Struggling,False,exact_raw_email_match,R_PD_000522,R_BM_000153
NNEP-R0566,contact@needlecustomsllc1566.example,emh_888cf957d2,Needle Customs LLC #1566,West,2-5 employees,11,6,Stitch-count based,9,Partial Pricing System,Capacity Pressure,2,2,2,0,3,3,Somewhat confident,Broadly aligned,True,False,False,Sometimes,Good,False,exact_raw_email_match,R_PD_000527,R_BM_000156
NNEP-R0572,owner@crownworkscompany1572.example,emh_3765304439,Crown Works Company #1572,Northeast,6-10 employees,2,3,Value-based,20,Strong Pricing System,Production Cost,4,4,4,4,4,5,Very confident,Broadly aligned,True,True,False,Sometimes,Very strong,True,exact_raw_email_match,R_PD_000533,R_BM_000157
NNEP-R0573,info@threadstitchcollc1573.example,emh_d067a58522,Thread Stitch Co. LLC #1573,Canada/Other,Solo owner/operator,31,1,Stitch-count based,11,Partial Pricing System,Production Cost,2,3,2,2,2,3,Somewhat confident,Broadly aligned,False,False,False,Rarely,Acceptable,False,exact_raw_email_match,R_PD_000534,R_BM_000158
NNEP-R0575,info@goldenlogoshopcompany1.example,emh_7acf897108,Golden Logo Shop Company #1575,South,11-25 employees,10,12,Hourly rate,13,Partial Pricing System,Capacity Pressure,4,3,2,1,3,3,Somewhat confident,Broadly aligned,False,False,False,Rarely,Good,True,exact_raw_email_match,R_PD_000536,R_BM_000159
NNEP-R0584,info@crowndesignscollective.example,emh_5b94b9d861,Crown Designs Collective #1584,South,Solo owner/operator,0,1,Competitor-based,5,Pricing Blind Spots,Real Labor,2,0,2,0,1,3,Somewhat confident,Broadly aligned,False,False,True,Never,Acceptable,False,exact_raw_email_match,R_PD_000544,R_BM_000161
NNEP-R0585,hello4@heritagethreads1585.example,emh_00771e53f5,Heritage Threads #1585,Midwest,Solo owner/operator,2,1,Hybrid/job costing,12,Partial Pricing System,Production Cost,2,3,3,2,2,2,Slightly confident,Broadly aligned,False,True,True,Rarely,Acceptable,True,exact_raw_email_match,R_PD_000545,R_BM_000162
NNEP-R0601,contact@redbarndecoratedgoodsg.example,emh_aa6bc0d982,Red Barn Decorated Goods Group #1601,Midwest,2-5 employees,8,3,Cost-plus,15,Partial Pricing System,Capacity Pressure,3,3,4,1,4,3,Somewhat confident,Broadly aligned,True,False,True,Sometimes,Good,True,exact_raw_email_match,R_PD_000558,R_BM_000166
NNEP-R0619,office@heritagestitchcoshop16.example,emh_a6237f443c,Heritage Stitch Co. Shop #1619,West,2-5 employees,12,2,Hybrid/job costing,19,Strong Pricing System,End Customer Value,4,4,4,4,3,4,Confident,Broadly aligned,False,False,True,Sometimes,Acceptable,False,normalized_email_match,R_PD_000575,R_BM_000168
NNEP-R0622,contact6@needleneedleworksllc16.example,emh_2d1915d88d,Needle Needleworks LLC #1622,Midwest,Solo owner/operator,19,2,Stitch-count based,10,Partial Pricing System,Capacity Pressure,2,3,2,1,2,2,Slightly confident,Broadly aligned,True,True,False,Sometimes,Good,False,exact_raw_email_match,R_PD_000578,R_BM_000169
NNEP-R0630,quotes@willowworksshop1630.example,emh_46e87dc089,Willow Works Shop #1630,South,2-5 employees,27,1,Value-based,15,Partial Pricing System,Capacity Pressure,4,3,4,2,2,3,Somewhat confident,Broadly aligned,False,False,False,Sometimes,Good,False,exact_raw_email_match,R_PD_000585,R_BM_000171
NNEP-R0631,sales@luckydecoratedgoodscom.example,emh_6c91550280,Lucky Decorated Goods Company #1631,South,26+ employees,20,12,Cost-plus,19,Strong Pricing System,Capacity Pressure,4,4,4,3,4,4,Confident,Broadly aligned,True,True,True,Sometimes,Very strong,False,normalized_email_match,R_PD_000586,R_BM_000172
NNEP-R0637,contact0@northstarprintstitchco.example,emh_90d30741d8,North Star Print & Stitch Collective #1637,West,6-10 employees,11,4,Hybrid/job costing,14,Partial Pricing System,Capacity Pressure,3,4,3,2,2,5,Very confident,Potentially overconfident,True,False,True,Frequently,Acceptable,False,exact_raw_email_match,R_PD_000591,R_BM_000174
NNEP-R0645,quotes@lakesidelogoshopcompan.example,emh_7ca1f23651,Lakeside Logo Shop Company #1645,Northeast,Solo owner/operator,15,1,Hybrid/job costing,15,Partial Pricing System,Capacity Pressure,3,4,3,2,3,4,Confident,Broadly aligned,True,True,True,Rarely,Good,False,exact_raw_email_match,R_PD_000599,R_BM_000175
NNEP-R0648,office4@prairiethreadsllc1648.example,emh_3c7245f805,Prairie Threads LLC #1648,Northeast,2-5 employees,12,1,Hybrid/job costing,15,Partial Pricing System,Real Labor,3,2,3,3,4,3,Somewhat confident,Broadly aligned,False,False,True,Sometimes,Acceptable,False,exact_raw_email_match,R_PD_000602,R_BM_000176
NNEP-R0653,hello2@pinecustoms1653.example,emh_74069ba787,Pine Customs #1653,South,11-25 employees,0,6,Hourly rate,12,Partial Pricing System,Real Labor,4,2,2,2,2,4,Confident,Broadly aligned,False,False,False,Sometimes,Acceptable,True,exact_raw_email_match,R_PD_000606,R_BM_000178
NNEP-R0654,hello@needlelogoshop1654.example,emh_3d692ff442,Needle Logo Shop #1654,South,26+ employees,4,20,Value-based,14,Partial Pricing System,Intended Profit,4,3,2,3,2,4,Confident,Broadly aligned,True,True,False,Sometimes,Very strong,False,exact_raw_email_match,R_PD_000607,R_BM_000179
NNEP-R0658,quotes@stitchdesignscompany16.example,emh_9e06470c06,Stitch Designs Company #1658,Midwest,Solo owner/operator,24,3,Hybrid/job costing,8,Partial Pricing System,Real Labor,2,1,2,2,1,4,Confident,Broadly aligned,True,False,False,Frequently,Acceptable,False,exact_raw_email_match,R_PD_000611,R_BM_000180
NNEP-R0665,info0@northstarteamwearllc16.example,emh_57b28410e5,North Star Teamwear LLC #1665,West,Solo owner/operator,20,1,Value-based,15,Partial Pricing System,Intended Profit,4,3,2,3,3,5,Very confident,Potentially overconfident,True,False,False,Rarely,Very strong,False,exact_raw_email_match,R_PD_000618,R_BM_000181
NNEP-R0666,sales1@magnoliacustoms1666.example,emh_12bae6a9d4,Magnolia Customs #1666,West,2-5 employees,20,4,Cost-plus,19,Strong Pricing System,Capacity Pressure,4,4,4,3,4,4,Confident,Broadly aligned,True,False,False,Sometimes,Struggling,False,exact_raw_email_match,R_PD_000619,R_BM_000182
NNEP-R0670,quotes@lakesideworks1670.example,emh_2124cf4b94,Lakeside Works #1670,Midwest,6-10 employees,14,6,Cost-plus,12,Partial Pricing System,Production Cost,2,2,2,2,4,3,Somewhat confident,Broadly aligned,True,False,False,Never,Variable,True,exact_raw_email_match,R_PD_000622,R_BM_000184
NNEP-R0674,sales@sunrisestudiocollectiv.example,emh_da854ccca0,Sunrise Studio Collective #1674,West,11-25 employees,8,15,Stitch-count based,18,Strong Pricing System,Real Labor,4,3,4,3,4,2,Slightly confident,Underconfident relative to diagnostic,True,True,False,Sometimes,Acceptable,True,exact_raw_email_match,R_PD_000626,R_BM_000185
NNEP-R0676,info@redbarnlogoshopllc1676.example,emh_81e07d7bb6,Red Barn Logo Shop LLC #1676,South,2-5 employees,5,1,Hybrid/job costing,19,Strong Pricing System,Capacity Pressure,4,4,4,3,4,4,Confident,Broadly aligned,False,True,False,Rarely,Acceptable,False,exact_raw_email_match,R_PD_000628,R_BM_000186
NNEP-R0682,info@bobbinbrandingcollecti.example,emh_52af52f59d,Bobbin Branding Collective #1682,West,Solo owner/operator,9,1,Hybrid/job costing,18,Strong Pricing System,Production Cost,3,4,4,4,3,4,Confident,Broadly aligned,True,True,True,Sometimes,Struggling,True,exact_raw_email_match,R_PD_000634,R_BM_000187
NNEP-R0688,info2@riverteamweargroup1688.example,emh_8318aea5df,River Teamwear Group #1688,South,11-25 employees,10,8,Cost-plus,18,Strong Pricing System,Intended Profit,4,4,3,3,4,5,Very confident,Broadly aligned,True,False,True,Sometimes,Acceptable,False,exact_raw_email_match,R_PD_000640,R_BM_000188
NNEP-R0689,info@maplebrandingcompany16.example,emh_809388879a,Maple Branding Company #1689,West,Solo owner/operator,13,2,Hybrid/job costing,15,Partial Pricing System,Capacity Pressure,3,3,4,2,3,4,Confident,Broadly aligned,True,False,True,Sometimes,Acceptable,False,exact_raw_email_match,R_PD_000641,R_BM_000189
NNEP-R0690,office@pinethreadscompany1690.example,emh_1535c9c026,Pine Threads Company #1690,West,2-5 employees,16,2,Hybrid/job costing,6,Pricing Blind Spots,Capacity Pressure,3,1,2,0,0,3,Somewhat confident,Broadly aligned,True,True,False,Sometimes,Acceptable,True,exact_raw_email_match,R_PD_000642,R_BM_000190
NNEP-R0692,quotes@oakbrandingcollective1.example,emh_ff3fea5a5f,Oak Branding Collective #1692,South,Solo owner/operator,0,1,Stitch-count based,9,Partial Pricing System,Intended Profit,2,2,1,2,2,2,Slightly confident,Broadly aligned,False,False,False,Sometimes,Variable,False,normalized_email_match,R_PD_000644,R_BM_000191
NNEP-R0694,owner@stitchprintstitchshop1.example,emh_081ee15a64,Stitch Print & Stitch Shop #1694,West,Solo owner/operator,5,1,Hybrid/job costing,14,Partial Pricing System,Real Labor,4,2,2,3,3,4,Confident,Broadly aligned,False,False,False,Never,Very strong,False,exact_raw_email_match,R_PD_000646,R_BM_000192
NNEP-R0696,sales@crownworksgroup1696.example,emh_554cd375fb,Crown Works Group #1696,Midwest,2-5 employees,0,1,Hybrid/job costing,4,Pricing Blind Spots,Real Labor,2,0,1,1,0,2,Slightly confident,Broadly aligned,True,False,True,Never,Good,True,exact_raw_email_match,R_PD_000648,R_BM_000193
NNEP-R0703,contact@brightdesignsgroup1703.example,emh_460172d59f,Bright Designs Group #1703,South,6-10 employees,2,12,Stitch-count based,15,Partial Pricing System,Intended Profit,4,4,2,2,3,4,Confident,Broadly aligned,True,True,True,Never,Struggling,True,exact_raw_email_match,R_PD_000655,R_BM_000194
NNEP-R0704,sales@luckyprintstitchllc170.example,emh_41422c0988,Lucky Print & Stitch LLC #1704,West,Solo owner/operator,5,3,Stitch-count based,15,Partial Pricing System,Capacity Pressure,3,4,3,2,3,4,Confident,Broadly aligned,True,True,True,Sometimes,Good,True,exact_raw_email_match,R_PD_000656,R_BM_000195
NNEP-R0705,sales@willowwearablesshop170.example,emh_be03715b72,Willow Wearables Shop #1705,West,Solo owner/operator,9,1,Stitch-count based,4,Pricing Blind Spots,Capacity Pressure,2,1,1,0,0,3,Somewhat confident,Broadly aligned,False,False,True,Never,Acceptable,False,exact_raw_email_match,R_PD_000657,R_BM_000196
NNEP-R0727,owner6@northstarworksshop1727.example,emh_6eb563f9b7,North Star Works Shop #1727,Northeast,2-5 employees,8,3,Cost-plus,15,Partial Pricing System,Capacity Pressure,3,3,3,2,4,3,Somewhat confident,Broadly aligned,True,True,True,Never,Acceptable,False,exact_raw_email_match,R_PD_000677,R_BM_000199
NNEP-R0729,quotes@maplethreadsstudio1729.example,emh_2ddd6b324a,Maple Threads Studio #1729,Midwest,Solo owner/operator,0,1,Competitor-based,0,Pricing Blind Spots,Production Cost,0,0,0,0,0,1,Not confident,Broadly aligned,False,False,False,Sometimes,Good,False,exact_raw_email_match,R_PD_000679,R_BM_000200
